t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
553964.8661135000,0.0055770341,-0.0111674919,0.2202251623,0.3195405155,-0.6398501510,12.6179723416
553965.5011245001,0.0054995532,-0.0112009979,0.2023571634,0.3151011862,-0.6417699067,11.5942114170
553966.5011425000,0.0055303316,-0.0112313576,0.2066925758,0.3168646597,-0.6435093874,11.8426122476
553967.5011605000,0.0054754333,-0.0111640790,0.2030928664,0.3137192216,-0.6396546063,11.6363640924
553968.5011795000,0.0055181849,-0.0111705057,0.2028447361,0.3161687058,-0.6400228291,11.6221472754
553969.5011975000,0.0055175061,-0.0112254213,0.2017136991,0.3161298107,-0.6431692619,11.5573436270
553970.5012155001,0.0055122776,-0.0111944777,0.2164053504,0.3158302399,-0.6413963279,12.3991132439
553971.5012335000,0.0055180145,-0.0112071479,0.1895772594,0.3161589408,-0.6421222769,10.8619768534
553972.5012510000,0.0055116501,-0.0112071978,0.2117625356,0.3157942909,-0.6421251336,12.1330995489
553973.5012690000,0.0055121287,-0.0112130994,0.1851014691,0.3158217104,-0.6424632698,10.6055329616
553974.5012870000,0.0055421976,-0.0112624012,0.2105657140,0.3175445299,-0.6452880537,12.0645267208
553975.5013050000,0.0055116658,-0.0111644240,0.2058523002,0.3157951904,-0.6396743784,11.7944680029
553976.5013230001,0.0055185555,-0.0112069852,0.2078536933,0.3161899378,-0.6421129506,11.9091393837
553977.5013420000,0.0055240412,-0.0112005404,0.2034683518,0.3165042467,-0.6417436914,11.6578778246
553978.5013600000,0.0055484446,-0.0112500835,0.1827050128,0.3179024572,-0.6445823058,10.4682261298
553979.5013780000,0.0054811824,-0.0111520783,0.2048217400,0.3140486171,-0.6389670218,11.7354212558
553980.5013960000,0.0054936247,-0.0112129969,0.1842066488,0.3147615111,-0.6424574002,10.5542635347
553981.5014140001,0.0055362217,-0.0111885568,0.2244464180,0.3172021358,-0.6410570815,12.8598324756
553982.5014320000,0.0055241526,-0.0111893540,0.2184781667,0.3165106312,-0.6411027613,12.5178768687
553983.5014500000,0.0054937688,-0.0112124666,0.2204933461,0.3147697650,-0.6424270151,12.6333381407
553984.5014680000,0.0054870990,-0.0111949860,0.1820278448,0.3143876171,-0.6414254468,10.4294272601
553985.5014860000,0.0055061315,-0.0112374717,0.1988146280,0.3154780968,-0.6438596987,11.3912390925
553986.5015040000,0.0054992462,-0.0111401749,0.2303034127,0.3150835982,-0.6382850040,13.1954135545
553987.5015230000,0.0055304042,-0.0112130108,0.2275971222,0.3168688225,-0.6424581966,13.0403545305
553988.5015410000,0.0054997313,-0.0111704153,0.2176775286,0.3151113925,-0.6400176512,12.4720036814
553989.5015590000,0.0055060081,-0.0112318371,0.2051590374,0.3154710257,-0.6435368639,11.7547469718
553990.5015770000,0.0055240629,-0.0112063526,0.2081168597,0.3165054910,-0.6420767082,11.9242177082
