t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558510.0000237450,-9.8039245609,0.0431823730,-0.0975036621,-0.0000651042,-0.0000325521,0.0003472222
558510.0100237450,-9.8031616214,0.0407409668,-0.0971984863,-0.0000542535,0.0000108507,-0.0005642361
558510.0200237450,-9.8040771488,0.0457763672,-0.0981140137,-0.0000434028,-0.0000000000,0.0004557292
558510.0300237450,-9.8030090335,0.0395202637,-0.1000976563,-0.0000108507,-0.0000000000,-0.0005425347
558510.0400237450,-9.8046875003,0.0486755371,-0.0978088379,-0.0000434028,-0.0000000000,0.0002929687
558510.0500237450,-9.8034667972,0.0376892090,-0.0973510742,0.0000000000,-0.0000000000,-0.0002821181
558510.0600237451,-9.8052978519,0.0471496582,-0.0976562500,-0.0000434028,0.0000108507,0.0000325521
558510.0700237449,-9.8033142093,0.0393676758,-0.0996398926,-0.0000651042,-0.0000000000,0.0000217014
558510.0800237450,-9.8049926761,0.0460815430,-0.0988769531,-0.0000542535,-0.0000000000,-0.0002604167
558510.0900237450,-9.8046875003,0.0434875488,-0.0970458984,-0.0000542535,-0.0000000000,0.0002495660
558510.1000237450,-9.8040771488,0.0416564941,-0.0982666016,0.0000000000,0.0000108507,-0.0004882812
558510.1100237450,-9.8042297366,0.0451660156,-0.0990295410,-0.0000325521,-0.0000217014,0.0004665799
558510.1200237450,-9.8030090335,0.0407409668,-0.0979614258,-0.0000108507,0.0000108507,-0.0005967882
558510.1300237450,-9.8051452640,0.0477600098,-0.0973510742,-0.0000976562,-0.0000000000,0.0003580729
558510.1400237450,-9.8033142093,0.0376892090,-0.0979614258,-0.0000325521,-0.0000108507,-0.0003255208
558510.1500237450,-9.8049926761,0.0485229492,-0.0990295410,-0.0000651042,0.0000108507,0.0000759549
558510.1600237450,-9.8036193851,0.0395202637,-0.0987243652,-0.0000108507,-0.0000000000,-0.0000434028
558510.1700237450,-9.8043823245,0.0454711914,-0.0975036621,0.0000000000,-0.0000000000,-0.0002821181
558510.1800237451,-9.8046875003,0.0415039063,-0.0976562500,-0.0000434028,-0.0000000000,0.0003038194
558510.1900237449,-9.8037719730,0.0424194336,-0.0991821289,-0.0000108507,-0.0000325521,-0.0005208333
558510.2000237450,-9.8042297366,0.0465393066,-0.0988769531,-0.0000651042,-0.0000000000,0.0004340278
558510.2100237450,-9.8040771488,0.0392150879,-0.0973510742,-0.0000434028,0.0000108507,-0.0005425347
558510.2200237450,-9.8051452640,0.0468444824,-0.0982666016,-0.0000542535,-0.0000000000,0.0003472222
558510.2300237450,-9.8028564456,0.0392150879,-0.0985717773,0.0000000000,0.0000217014,-0.0003797743
558510.2400237450,-9.8042297366,0.0483703613,-0.0978088379,-0.0000217014,-0.0000108507,0.0001193576
558510.2500237450,-9.8039245609,0.0381469727,-0.0985717773,-0.0000217014,-0.0000000000,-0.0001085069
558510.2600237450,-9.8043823245,0.0465393066,-0.0987243652,-0.0000325521,-0.0000000000,-0.0001302083
558510.2700237450,-9.8034667972,0.0418090820,-0.0981140137,-0.0000542535,-0.0000108507,0.0001302083
558510.2800237450,-9.8042297366,0.0439453125,-0.0976562500,-0.0000542535,-0.0000000000,-0.0004014757
558510.2900237450,-9.8039245609,0.0431823730,-0.0981140137,-0.0000542535,0.0000108507,0.0003472222
558510.3000237450,-9.8037719730,0.0408935547,-0.0987243652,0.0000108507,-0.0000108507,-0.0005208333
558510.3100237451,-9.8048400882,0.0468444824,-0.0981140137,-0.0000325521,-0.0000000000,0.0004123264
558510.3200237449,-9.8033142093,0.0405883789,-0.0978088379,-0.0000217014,0.0000217014,-0.0004991319
558510.3300237450,-9.8048400882,0.0469970703,-0.0976562500,-0.0000434028,-0.0000325521,0.0003038194
558510.3400237450,-9.8028564456,0.0378417969,-0.0990295410,-0.0000434028,0.0000108507,-0.0003689236
558510.3500237450,-9.8045349124,0.0492858887,-0.0984191895,-0.0000651042,-0.0000000000,0.0001410590
