t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558383.0000236270,9.7889709476,-0.0373840332,0.0645446777,0.0000217014,-0.0000000000,0.0000759549
558383.0100236270,9.7880554202,-0.0375366211,0.0640869141,0.0000217014,-0.0000000000,0.0000434028
558383.0200236270,9.7879028324,-0.0364685059,0.0642395020,0.0000217014,-0.0000000000,0.0000434028
558383.0300236270,9.7886657718,-0.0363159180,0.0651550293,0.0000434028,0.0000217014,0.0000651042
558383.0400236270,9.7882080081,-0.0379943848,0.0654602051,0.0000217014,-0.0000000000,0.0000868056
558383.0500236270,9.7886657718,-0.0378417969,0.0640869141,0.0000434028,-0.0000108507,0.0000434028
558383.0600236270,9.7883605960,-0.0367736816,0.0643920898,0.0000108507,0.0000217014,0.0000434028
558383.0700236270,9.7885131839,-0.0369262695,0.0657653809,0.0000108507,-0.0000108507,0.0000976562
558383.0800236270,9.7891235355,-0.0376892090,0.0656127930,0.0000108507,-0.0000000000,0.0000759549
558383.0900236270,9.7882080081,-0.0375366211,0.0648498535,0.0000325521,-0.0000108507,0.0000108507
558383.1000236270,9.7888183597,-0.0369262695,0.0640869141,0.0000651042,-0.0000000000,0.0000651042
558383.1100236271,9.7883605960,-0.0363159180,0.0646972656,0.0000434028,-0.0000000000,0.0000542535
558383.1200236270,9.7892761234,-0.0375366211,0.0654602051,0.0000108507,-0.0000000000,0.0000325521
558383.1300236270,9.7888183597,-0.0379943848,0.0646972656,0.0000434028,-0.0000108507,0.0000542535
558383.1400236270,9.7886657718,-0.0363159180,0.0642395020,0.0000217014,-0.0000000000,0.0000759549
558383.1500236270,9.7883605960,-0.0369262695,0.0650024414,0.0000325521,-0.0000000000,0.0000542535
558383.1600236270,9.7891235355,-0.0387573242,0.0653076172,0.0000434028,-0.0000000000,0.0000542535
558383.1700236270,9.7886657718,-0.0373840332,0.0646972656,0.0000325521,-0.0000000000,0.0000434028
558383.1800236270,9.7886657718,-0.0357055664,0.0642395020,0.0000325521,-0.0000000000,0.0000325521
558383.1900236270,9.7886657718,-0.0373840332,0.0645446777,0.0000108507,-0.0000000000,0.0000976562
558383.2000236270,9.7888183597,-0.0378417969,0.0648498535,0.0000217014,0.0000108507,0.0000325521
558383.2100236270,9.7885131839,-0.0375366211,0.0645446777,0.0000217014,-0.0000000000,0.0000542535
558383.2200236270,9.7886657718,-0.0366210938,0.0640869141,0.0000325521,0.0000217014,0.0000759549
558383.2300236271,9.7883605960,-0.0370788574,0.0648498535,0.0000868056,-0.0000000000,0.0000759549
558383.2400236269,9.7885131839,-0.0376892090,0.0656127930,0.0004014757,-0.0000000000,0.0000325521
558383.2500236270,9.7894287113,-0.0379943848,0.0654602051,0.0013888889,-0.0000217014,0.0000651042
558383.2600236270,9.7877502445,-0.0375366211,0.0651550293,0.0033311632,-0.0000000000,0.0000976562
558383.2700236270,9.7882080081,-0.0372314453,0.0650024414,0.0047526042,-0.0000217014,0.0000868056
