t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558329.0000235760,9.7885131839,-0.0413513184,0.0651550293,0.0000325521,-0.0000000000,-0.0001193576
558329.0100235760,9.7888183597,-0.0361633301,0.0656127930,0.0000325521,-0.0000000000,0.0004340278
558329.0200235760,9.7889709476,-0.0346374512,0.0643920898,0.0000325521,-0.0000000000,-0.0004123264
558329.0300235760,9.7880554202,-0.0416564941,0.0642395020,0.0000325521,0.0000217014,0.0005642361
558329.0400235760,9.7889709476,-0.0305175781,0.0651550293,0.0000000000,0.0000217014,-0.0004231771
558329.0500235760,9.7882080081,-0.0437927246,0.0653076172,0.0000325521,-0.0000325521,0.0005099826
558329.0600235760,9.7889709476,-0.0305175781,0.0648498535,0.0000217014,-0.0000000000,-0.0002604167
558329.0700235760,9.7879028324,-0.0444030762,0.0642395020,0.0000217014,-0.0000000000,0.0002495660
558329.0800235770,9.7891235355,-0.0299072266,0.0657653809,0.0000325521,-0.0000000000,0.0000325521
558329.0900235770,9.7877502445,-0.0405883789,0.0656127930,0.0000434028,-0.0000000000,-0.0000759549
558329.1000235770,9.7885131839,-0.0366210938,0.0639343262,0.0000325521,-0.0000325521,0.0004123264
558329.1100235770,9.7888183597,-0.0349426270,0.0637817383,-0.0000108507,0.0000217014,-0.0003906250
558329.1200235770,9.7877502445,-0.0402832031,0.0654602051,0.0000434028,-0.0000000000,0.0005533854
558329.1300235770,9.7895812991,-0.0308227539,0.0646972656,0.0000108507,-0.0000000000,-0.0004231771
558329.1400235770,9.7871398929,-0.0444030762,0.0642395020,0.0000325521,-0.0000000000,0.0005099826
558329.1500235770,9.7897338870,-0.0292968750,0.0643920898,0.0000434028,-0.0000000000,-0.0002278646
558329.1600235770,9.7872924808,-0.0439453125,0.0648498535,0.0000434028,-0.0000000000,0.0001302083
558329.1700235771,9.7888183597,-0.0325012207,0.0654602051,0.0000325521,-0.0000000000,0.0002170139
558329.1800235769,9.7885131839,-0.0384521484,0.0645446777,0.0000217014,-0.0000000000,-0.0002821181
558329.1900235770,9.7880554202,-0.0381469727,0.0643920898,0.0000217014,0.0000108507,0.0005316840
558329.2000235770,9.7891235355,-0.0335693359,0.0643920898,0.0000217014,-0.0000000000,-0.0004340278
558329.2100235770,9.7879028324,-0.0431823730,0.0650024414,0.0000434028,-0.0000000000,0.0005316840
558329.2200235770,9.7903442386,-0.0299072266,0.0646972656,0.0000325521,-0.0000000000,-0.0003255208
558329.2300235770,9.7871398929,-0.0433349609,0.0639343262,0.0000325521,-0.0000000000,0.0003689236
558329.2400235770,9.7894287113,-0.0303649902,0.0648498535,0.0000108507,-0.0000000000,-0.0001085069
558329.2500235770,9.7879028324,-0.0436401367,0.0657653809,0.0000325521,-0.0000000000,0.0000976562
558329.2600235770,9.7885131839,-0.0317382813,0.0645446777,0.0000217014,-0.0000000000,0.0001736111
558329.2700235770,9.7886657718,-0.0387573242,0.0646972656,0.0000217014,0.0000108507,-0.0001627604
558329.2800235770,9.7885131839,-0.0384521484,0.0656127930,0.0000325521,-0.0000000000,0.0004123264
558329.2900235771,9.7888183597,-0.0352478027,0.0639343262,0.0000325521,-0.0000000000,-0.0003363715
558329.3000235769,9.7880554202,-0.0395202637,0.0648498535,0.0000325521,-0.0000217014,0.0005099826
558329.3100235770,9.7889709476,-0.0332641602,0.0657653809,0.0000217014,0.0000325521,-0.0003906250
558329.3200235770,9.7872924808,-0.0430297852,0.0654602051,0.0000217014,-0.0000434028,0.0005099826
