t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
557721.0000230100,0.0263977051,9.7982788089,-0.0210571289,-0.0008029514,0.0000651042,0.0000000000
557721.0100230100,0.0280761719,9.7967529300,-0.0277709961,0.0009223090,0.0000108507,0.0000000000
557721.0200230100,0.0294494629,9.8001098636,-0.0091552734,-0.0007486979,0.0000325521,-0.0000108507
557721.0300230100,0.0285339355,9.7956848148,-0.0334167480,-0.0000108507,0.0000542535,0.0000000000
557721.0400230100,0.0267028809,9.7985839847,-0.0164794922,0.0005533854,-0.0000000000,0.0000108507
557721.0500230100,0.0274658203,9.7991943363,-0.0154113770,-0.0010742187,0.0000434028,-0.0000108507
557721.0600230100,0.0294494629,9.7956848148,-0.0346374512,0.0007921007,0.0000217014,0.0000000000
557721.0700230100,0.0285339355,9.7996520999,-0.0085449219,-0.0003038194,0.0000325521,0.0000000000
557721.0800230100,0.0270080566,9.7966003421,-0.0270080566,-0.0005316840,0.0000325521,-0.0000217014
557721.0900230100,0.0276184082,9.7969055179,-0.0245666504,0.0008789062,0.0000217014,0.0000108507
557721.1000230100,0.0288391113,9.8002624515,-0.0117492676,-0.0010199653,0.0000434028,0.0000000000
557721.1100230101,0.0283813477,9.7952270511,-0.0338745117,0.0003797743,0.0000325521,0.0000108507
557721.1200230099,0.0274658203,9.8002624515,-0.0114440918,0.0001193576,0.0000217014,0.0000000000
557721.1300230100,0.0274658203,9.7981262210,-0.0213623047,-0.0008246528,0.0000217014,0.0000000000
557721.1400230100,0.0288391113,9.7964477542,-0.0300598145,0.0009982639,0.0000217014,0.0000000000
557721.1500230100,0.0283813477,9.8010253909,-0.0088500977,-0.0007378472,0.0000325521,0.0000108507
557721.1600230100,0.0270080566,9.7956848148,-0.0317382813,-0.0000976562,0.0000434028,0.0000108507
557721.1700230100,0.0277709961,9.7982788089,-0.0167846680,0.0006184896,0.0000325521,0.0000000000
557721.1800230100,0.0283813477,9.7996520999,-0.0149536133,-0.0010416667,0.0000434028,0.0000000000
557721.1900230100,0.0286865234,9.7958374027,-0.0337219238,0.0007161458,0.0000325521,0.0000000000
557721.2000230100,0.0274658203,9.7996520999,-0.0093078613,-0.0002170139,0.0000217014,-0.0000217014
557721.2100230100,0.0271606445,9.7973632816,-0.0257873535,-0.0005859375,0.0000434028,-0.0000108507
557721.2200230100,0.0289916992,9.7970581058,-0.0250244141,0.0009114583,0.0000434028,0.0000000000
557721.2300230101,0.0280761719,9.8002624515,-0.0097656250,-0.0009874132,0.0000325521,-0.0000108507
557721.2400230099,0.0277709961,9.7953796390,-0.0332641602,0.0002604167,-0.0000000000,0.0000108507
557721.2500230100,0.0280761719,9.7985839847,-0.0137329102,0.0002929687,0.0000325521,0.0000000000
557721.2600230100,0.0279235840,9.7982788089,-0.0210571289,-0.0009331597,0.0000434028,-0.0000108507
557721.2700230100,0.0283813477,9.7959899906,-0.0314331055,0.0009114583,0.0000325521,0.0000000000
557721.2800230100,0.0279235840,9.8001098636,-0.0080871582,-0.0006184896,0.0000325521,0.0000000000
557721.2900230100,0.0279235840,9.7959899906,-0.0309753418,-0.0001519097,0.0000217014,0.0000000000
557721.3000230100,0.0291442871,9.7978210452,-0.0193786621,0.0006510417,0.0000108507,0.0000000000
557721.3100230100,0.0285339355,9.7994995120,-0.0144958496,-0.0010742187,0.0000759549,0.0000000000
557721.3200230100,0.0273132324,9.7949218753,-0.0332641602,0.0006293403,0.0000217014,0.0000000000
557721.3300230100,0.0276184082,9.7999572757,-0.0100708008,-0.0000759549,0.0000434028,-0.0000217014
557721.3400230110,0.0282287598,9.7976684574,-0.0251770020,-0.0006835937,0.0000325521,0.0000000000
557721.3500230110,0.0292968750,9.7966003421,-0.0273132324,0.0009223090,0.0000217014,0.0000000000
557721.3600230110,0.0277709961,9.7998046878,-0.0082397461,-0.0009223090,0.0000651042,0.0000000000
557721.3700230110,0.0277709961,9.7947692874,-0.0328063965,0.0001736111,0.0000108507,0.0000108507
557721.3800230110,0.0286865234,9.7987365726,-0.0157165527,0.0004340278,0.0000217014,0.0000000000
557721.3900230110,0.0282287598,9.7988891605,-0.0183105469,-0.0010199653,0.0000434028,-0.0000108507
557721.4000230110,0.0280761719,9.7953796390,-0.0317382813,0.0008246528,0.0000108507,0.0000000000
557721.4100230110,0.0274658203,9.7999572757,-0.0079345703,-0.0004665799,0.0000434028,0.0000000000
557721.4200230110,0.0285339355,9.7962951663,-0.0289916992,-0.0002929687,0.0000217014,0.0000000000
557721.4300230111,0.0283813477,9.7973632816,-0.0218200684,0.0007486979,-0.0000000000,0.0000108507
557721.4400230109,0.0273132324,9.7994995120,-0.0122070313,-0.0010959201,0.0000434028,0.0000000000
557721.4500230110,0.0279235840,9.7949218753,-0.0343322754,0.0005316840,0.0000108507,0.0000108507
557721.4600230110,0.0282287598,9.7991943363,-0.0112915039,0.0000325521,0.0000434028,-0.0000217014
