t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
557661.0000229540,0.0276184082,9.8004150394,-0.0077819824,-0.0008029514,0.0000434028,-0.0000108507
557661.0100229540,0.0276184082,9.7950744632,-0.0334167480,0.0001085069,0.0000217014,0.0000000000
557661.0200229540,0.0289916992,9.7984313968,-0.0167846680,0.0004340278,0.0000108507,0.0000000000
557661.0300229540,0.0271606445,9.7990417484,-0.0173950195,-0.0010633681,0.0000651042,-0.0000108507
557661.0400229540,0.0276184082,9.7959899906,-0.0315856934,0.0008463542,-0.0000000000,0.0000108507
557661.0500229540,0.0274658203,9.8005676273,-0.0086975098,-0.0003906250,0.0000325521,0.0000000000
557661.0600229540,0.0282287598,9.7973632816,-0.0300598145,-0.0004123264,0.0000434028,0.0000000000
557661.0700229540,0.0283813477,9.7972106937,-0.0224304199,0.0008246528,0.0000108507,0.0000000000
557661.0800229540,0.0280761719,9.7999572757,-0.0111389160,-0.0010091146,0.0000651042,-0.0000108507
557661.0900229540,0.0273132324,9.7955322269,-0.0350952148,0.0005208333,0.0000325521,0.0000000000
557661.1000229541,0.0276184082,9.7998046878,-0.0117492676,0.0000108507,0.0000217014,0.0000108507
557661.1100229539,0.0292968750,9.7979736331,-0.0221252441,-0.0008355035,0.0000434028,0.0000108507
557661.1200229540,0.0277709961,9.7969055179,-0.0283813477,0.0009765625,-0.0000000000,0.0000000000
557661.1300229540,0.0259399414,9.8002624515,-0.0094604492,-0.0007921007,0.0000434028,0.0000000000
557661.1400229540,0.0280761719,9.7961425784,-0.0323486328,0.0000325521,0.0000434028,0.0000108507
557661.1500229540,0.0285339355,9.7979736331,-0.0173950195,0.0005533854,0.0000217014,-0.0000108507
557661.1600229540,0.0271606445,9.7994995120,-0.0149536133,-0.0010850694,0.0000434028,-0.0000108507
557661.1700229540,0.0260925293,9.7952270511,-0.0338745117,0.0007595486,0.0000108507,0.0000108507
557661.1800229540,0.0292968750,9.7999572757,-0.0085449219,-0.0002929687,0.0000217014,0.0000000000
557661.1900229540,0.0292968750,9.7972106937,-0.0259399414,-0.0004991319,0.0000434028,0.0000000000
557661.2000229540,0.0273132324,9.7969055179,-0.0241088867,0.0008246528,0.0000108507,0.0000000000
557661.2100229550,0.0270080566,9.8002624515,-0.0119018555,-0.0009548611,0.0000325521,0.0000000000
557661.2200229550,0.0288391113,9.7950744632,-0.0346374512,0.0004014757,0.0000434028,0.0000000000
557661.2300229550,0.0289916992,9.7999572757,-0.0106811523,0.0000651042,0.0000108507,0.0000000000
557661.2400229550,0.0267028809,9.7976684574,-0.0225830078,-0.0008138021,0.0000325521,0.0000000000
557661.2500229550,0.0270080566,9.7966003421,-0.0288391113,0.0009223090,0.0000108507,0.0000108507
557661.2600229550,0.0277709961,9.8005676273,-0.0090026855,-0.0007703993,0.0000434028,0.0000108507
557661.2700229550,0.0292968750,9.7961425784,-0.0329589844,0.0000651042,0.0000325521,0.0000000000
557661.2800229550,0.0283813477,9.7987365726,-0.0167846680,0.0005208333,0.0000217014,0.0000000000
557661.2900229550,0.0265502930,9.7994995120,-0.0158691406,-0.0010850694,0.0000325521,-0.0000217014
557661.3000229551,0.0276184082,9.7950744632,-0.0335693359,0.0008138021,0.0000217014,0.0000108507
557661.3100229549,0.0288391113,9.8002624515,-0.0080871582,-0.0003255208,0.0000325521,0.0000000000
557661.3200229550,0.0289916992,9.7967529300,-0.0276184082,-0.0005533854,0.0000325521,-0.0000108507
557661.3300229550,0.0267028809,9.7972106937,-0.0254821777,0.0009006076,0.0000217014,0.0000000000
557661.3400229550,0.0273132324,9.8001098636,-0.0106811523,-0.0009874132,0.0000434028,0.0000108507
557661.3500229550,0.0294494629,9.7955322269,-0.0332641602,0.0003689236,0.0000325521,0.0000000000
557661.3600229550,0.0291442871,9.7993469241,-0.0129699707,0.0001953125,0.0000325521,-0.0000108507
557661.3700229550,0.0263977051,9.7979736331,-0.0207519531,-0.0008897569,0.0000325521,0.0000108507
557661.3800229550,0.0273132324,9.7958374027,-0.0303649902,0.0008463542,0.0000217014,0.0000108507
557661.3900229550,0.0294494629,9.8005676273,-0.0077819824,-0.0006510417,0.0000217014,0.0000108507
557661.4000229550,0.0289916992,9.7962951663,-0.0320434570,-0.0000759549,0.0000434028,-0.0000217014
557661.4100229550,0.0267028809,9.7981262210,-0.0196838379,0.0006618924,0.0000108507,0.0000000000
557661.4200229550,0.0263977051,9.7993469241,-0.0131225586,-0.0011067708,0.0000651042,0.0000000000
557661.4300229551,0.0286865234,9.7953796390,-0.0331115723,0.0007161458,0.0000108507,0.0000000000
557661.4400229550,0.0285339355,9.7999572757,-0.0088500977,-0.0002061632,0.0000325521,0.0000000000
557661.4500229550,0.0279235840,9.7973632816,-0.0265502930,-0.0006293403,0.0000325521,0.0000000000
557661.4600229550,0.0267028809,9.7967529300,-0.0260925293,0.0009223090,0.0000217014,0.0000000000
557661.4700229550,0.0285339355,9.8004150394,-0.0090026855,-0.0009548611,0.0000759549,-0.0000217014
557661.4800229550,0.0289916992,9.7958374027,-0.0338745117,0.0003146701,0.0000217014,0.0000000000
557661.4900229550,0.0273132324,9.7994995120,-0.0131225586,0.0002821181,0.0000108507,0.0000108507
557661.5000229550,0.0268554688,9.7987365726,-0.0196838379,-0.0009982639,0.0000651042,0.0000000000
557661.5100229550,0.0283813477,9.7956848148,-0.0317382813,0.0009223090,-0.0000000000,0.0000217014
557661.5200229550,0.0292968750,9.8005676273,-0.0074768066,-0.0005967882,0.0000651042,0.0000000000
557661.5300229550,0.0279235840,9.7961425784,-0.0318908691,-0.0001953125,0.0000325521,-0.0000217014
557661.5400229550,0.0267028809,9.7981262210,-0.0193786621,0.0006618924,0.0000108507,0.0000000000
557661.5500229551,0.0280761719,9.7996520999,-0.0132751465,-0.0010633681,0.0000434028,0.0000000000
557661.5600229549,0.0296020508,9.7953796390,-0.0335693359,0.0007052951,0.0000108507,0.0000000000
557661.5700229550,0.0285339355,9.8002624515,-0.0103759766,-0.0002170139,0.0000217014,0.0000000000
557661.5800229550,0.0270080566,9.7976684574,-0.0262451172,-0.0006184896,0.0000651042,0.0000108507
557661.5900229550,0.0279235840,9.7964477542,-0.0241088867,0.0009006076,0.0000108507,0.0000108507
557661.6000229550,0.0280761719,9.8005676273,-0.0091552734,-0.0009548611,0.0000651042,-0.0000108507
557661.6100229550,0.0282287598,9.7953796390,-0.0332641602,0.0003472222,0.0000325521,-0.0000108507
557661.6200229550,0.0276184082,9.7993469241,-0.0128173828,0.0002278646,0.0000217014,0.0000000000
557661.6300229550,0.0283813477,9.7973632816,-0.0215148926,-0.0009331597,0.0000325521,0.0000108507
557661.6400229550,0.0280761719,9.7962951663,-0.0300598145,0.0008789062,0.0000217014,0.0000000000
557661.6500229550,0.0274658203,9.8004150394,-0.0077819824,-0.0006293403,0.0000217014,-0.0000108507
557661.6600229550,0.0273132324,9.7961425784,-0.0315856934,-0.0000976562,0.0000325521,0.0000000000
557661.6700229550,0.0279235840,9.7984313968,-0.0186157227,0.0006401910,0.0000325521,0.0000000000
557661.6800229551,0.0279235840,9.7990417484,-0.0146484375,-0.0010525174,0.0000434028,-0.0000217014
557661.6900229550,0.0283813477,9.7955322269,-0.0341796875,0.0007161458,0.0000217014,0.0000000000
557661.7000229550,0.0276184082,9.7998046878,-0.0086975098,-0.0002278646,0.0000217014,0.0000108507
557661.7100229550,0.0271606445,9.7975158695,-0.0270080566,-0.0005750868,0.0000325521,0.0000000000
557661.7200229550,0.0288391113,9.7967529300,-0.0244140625,0.0008897569,0.0000108507,0.0000108507
557661.7300229550,0.0289916992,9.8001098636,-0.0100708008,-0.0009765625,0.0000651042,-0.0000108507
557661.7400229550,0.0279235840,9.7952270511,-0.0341796875,0.0004123264,0.0000434028,0.0000000000
557661.7500229550,0.0274658203,9.7994995120,-0.0143432617,0.0001736111,0.0000108507,0.0000000000
557661.7600229550,0.0274658203,9.7981262210,-0.0215148926,-0.0009223090,0.0000325521,0.0000108507
557661.7700229550,0.0288391113,9.7958374027,-0.0279235840,0.0009331597,0.0000108507,0.0000108507
557661.7800229550,0.0285339355,9.8005676273,-0.0079345703,-0.0007161458,0.0000325521,0.0000000000
557661.7900229550,0.0277709961,9.7958374027,-0.0334167480,-0.0000651042,0.0000325521,0.0000000000
557661.8000229551,0.0270080566,9.7982788089,-0.0177001953,0.0006184896,0.0000108507,0.0000000000
557661.8100229549,0.0288391113,9.7996520999,-0.0146484375,-0.0010633681,0.0000651042,-0.0000108507
557661.8200229550,0.0288391113,9.7956848148,-0.0337219238,0.0007812500,0.0000217014,0.0000000000
557661.8300229550,0.0279235840,9.8002624515,-0.0094604492,-0.0003255208,0.0000325521,-0.0000108507
557661.8400229550,0.0274658203,9.7969055179,-0.0267028809,-0.0005750868,0.0000325521,0.0000000000
557661.8500229550,0.0291442871,9.7967529300,-0.0236511230,0.0009114583,0.0000108507,0.0000000000
557661.8600229550,0.0286865234,9.7999572757,-0.0106811523,-0.0009765625,0.0000651042,-0.0000108507
557661.8700229550,0.0268554688,9.7956848148,-0.0363159180,0.0003580729,0.0000108507,0.0000000000
557661.8800229550,0.0273132324,9.7996520999,-0.0123596191,0.0002929687,0.0000108507,0.0000000000
557661.8900229550,0.0279235840,9.7987365726,-0.0173950195,-0.0010525174,0.0000434028,0.0000000000
557661.9000229550,0.0285339355,9.7956848148,-0.0326538086,0.0009657118,0.0000217014,0.0000000000
557661.9100229550,0.0283813477,9.8002624515,-0.0077819824,-0.0005642361,0.0000325521,-0.0000108507
557661.9200229550,0.0270080566,9.7962951663,-0.0291442871,-0.0003363715,0.0000651042,0.0000000000
557661.9300229551,0.0274658203,9.7969055179,-0.0221252441,0.0008246528,0.0000217014,0.0000000000
557661.9400229550,0.0282287598,9.7990417484,-0.0123596191,-0.0010416667,0.0000434028,-0.0000108507
557661.9500229550,0.0289916992,9.7953796390,-0.0338745117,0.0005208333,0.0000217014,0.0000000000
557661.9600229550,0.0274658203,9.7993469241,-0.0111389160,0.0000217014,0.0000325521,0.0000000000
557661.9700229550,0.0271606445,9.7978210452,-0.0218200684,-0.0008355035,0.0000651042,-0.0000108507
557661.9800229550,0.0282287598,9.7964477542,-0.0285339355,0.0009657118,0.0000108507,0.0000108507
557661.9900229550,0.0282287598,9.8007202152,-0.0082397461,-0.0007921007,0.0000325521,-0.0000108507
557662.0000229550,0.0283813477,9.7953796390,-0.0328063965,0.0000325521,0.0000325521,0.0000000000
557662.0100229550,0.0276184082,9.7985839847,-0.0166320801,0.0005642361,-0.0000000000,0.0000000000
557662.0200229550,0.0274658203,9.7991943363,-0.0155639648,-0.0010959201,0.0000434028,0.0000000000
557662.0300229550,0.0279235840,9.7952270511,-0.0337219238,0.0007486979,0.0000325521,0.0000000000
557662.0400229550,0.0280761719,9.8005676273,-0.0083923340,-0.0003146701,0.0000325521,0.0000000000
557662.0500229551,0.0271606445,9.7966003421,-0.0274658203,-0.0005533854,0.0000434028,-0.0000108507
557662.0600229549,0.0283813477,9.7966003421,-0.0251770020,0.0009331597,-0.0000000000,0.0000000000
557662.0700229550,0.0274658203,9.7999572757,-0.0105285645,-0.0010091146,0.0000434028,-0.0000108507
557662.0800229550,0.0283813477,9.7958374027,-0.0349426270,0.0003255208,0.0000434028,0.0000000000
557662.0900229550,0.0283813477,9.7982788089,-0.0119018555,0.0003038194,0.0000217014,0.0000000000
557662.1000229550,0.0268554688,9.7990417484,-0.0193786621,-0.0010091146,0.0000434028,-0.0000108507
557662.1100229550,0.0274658203,9.7953796390,-0.0328063965,0.0009114583,0.0000108507,0.0000108507
557662.1200229550,0.0283813477,9.8002624515,-0.0074768066,-0.0005642361,0.0000434028,0.0000108507
557662.1300229550,0.0283813477,9.7961425784,-0.0299072266,-0.0002821181,0.0000325521,0.0000000000
557662.1400229550,0.0280761719,9.7982788089,-0.0210571289,0.0008029514,0.0000217014,0.0000000000
557662.1500229550,0.0270080566,9.7991943363,-0.0120544434,-0.0010959201,0.0000434028,0.0000000000
557662.1600229550,0.0283813477,9.7953796390,-0.0343322754,0.0005750868,-0.0000000000,0.0000108507
557662.1700229550,0.0282287598,9.7998046878,-0.0109863281,0.0000217014,0.0000325521,0.0000000000
557662.1800229551,0.0271606445,9.7975158695,-0.0242614746,-0.0008463542,0.0000651042,0.0000108507
557662.1900229550,0.0279235840,9.7964477542,-0.0277709961,0.0009765625,0.0000217014,0.0000000000
557662.2000229550,0.0277709961,9.8001098636,-0.0070190430,-0.0008029514,0.0000325521,-0.0000108507
557662.2100229550,0.0283813477,9.7956848148,-0.0328063965,0.0000651042,0.0000217014,0.0000000000
557662.2200229550,0.0276184082,9.7988891605,-0.0177001953,0.0004882812,0.0000217014,0.0000000000
557662.2300229550,0.0277709961,9.7994995120,-0.0169372559,-0.0010850694,0.0000651042,0.0000000000
557662.2400229550,0.0286865234,9.7953796390,-0.0331115723,0.0008138021,0.0000108507,0.0000000000
