t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
559086.0000242810,0.0700378418,-0.0025939941,-9.8143005374,-0.0002929687,0.0000217014,-0.0000325521
559086.0100242810,0.0669860840,-0.0042724609,-9.8146057132,0.0001085069,-0.0000325521,-0.0000325521
559086.0200242810,0.0675964355,-0.0045776367,-9.8146057132,-0.0002387153,0.0000217014,-0.0000325521
559086.0300242810,0.0677490234,-0.0042724609,-9.8141479495,0.0001302083,-0.0000000000,-0.0000434028
559086.0400242810,0.0691223145,-0.0041198730,-9.8141479495,-0.0002495660,0.0000217014,-0.0000434028
559086.0500242810,0.0688171387,-0.0047302246,-9.8146057132,0.0000868056,-0.0000434028,-0.0000434028
559086.0600242810,0.0660705566,-0.0053405762,-9.8147583011,-0.0002061632,0.0000217014,-0.0000217014
559086.0700242820,0.0675964355,-0.0025939941,-9.8144531253,0.0000217014,-0.0000000000,-0.0000325521
559086.0800242820,0.0701904297,-0.0057983398,-9.8141479495,-0.0001844618,0.0000108507,-0.0000325521
559086.0900242820,0.0675964355,-0.0025939941,-9.8149108890,0.0000976562,-0.0000325521,-0.0000325521
559086.1000242820,0.0663757324,-0.0044250488,-9.8143005374,-0.0002061632,0.0000217014,-0.0000325521
559086.1100242820,0.0669860840,-0.0041198730,-9.8150634769,0.0000651042,-0.0000542535,-0.0000434028
559086.1200242820,0.0685119629,-0.0041198730,-9.8135375980,-0.0002387153,0.0000325521,-0.0000325521
559086.1300242820,0.0672912598,-0.0025939941,-9.8141479495,0.0000976562,-0.0000542535,-0.0000217014
559086.1400242820,0.0668334961,-0.0054931641,-9.8147583011,-0.0002387153,0.0000325521,-0.0000434028
559086.1500242820,0.0671386719,-0.0045776367,-9.8144531253,0.0001193576,-0.0000325521,-0.0000108507
559086.1600242821,0.0688171387,-0.0027465820,-9.8149108890,-0.0002061632,0.0000434028,-0.0000434028
559086.1700242819,0.0689697266,-0.0032043457,-9.8149108890,0.0001193576,-0.0000325521,-0.0000325521
559086.1800242820,0.0669860840,-0.0057983398,-9.8143005374,-0.0002495660,0.0000108507,-0.0000434028
559086.1900242820,0.0668334961,-0.0044250488,-9.8146057132,0.0000868056,-0.0000000000,-0.0000434028
559086.2000242820,0.0686645508,-0.0035095215,-9.8143005374,-0.0002712674,0.0000108507,-0.0000325521
559086.2100242820,0.0680541992,-0.0036621094,-9.8141479495,0.0001519097,-0.0000325521,-0.0000108507
559086.2200242820,0.0679016113,-0.0048828125,-9.8146057132,-0.0002929687,0.0000217014,-0.0000325521
559086.2300242820,0.0666809082,-0.0050354004,-9.8143005374,0.0001519097,-0.0000000000,-0.0000108507
559086.2400242820,0.0692749023,-0.0019836426,-9.8144531253,-0.0002821181,0.0000325521,-0.0000434028
559086.2500242820,0.0683593750,-0.0044250488,-9.8146057132,0.0001519097,-0.0000325521,-0.0000434028
559086.2600242820,0.0675964355,-0.0030517578,-9.8146057132,-0.0003255208,0.0000217014,-0.0000434028
559086.2700242820,0.0666809082,-0.0062561035,-9.8139953616,0.0001844618,-0.0000000000,-0.0000108507
559086.2800242821,0.0692749023,-0.0010681152,-9.8146057132,-0.0003146701,0.0000108507,-0.0000217014
559086.2900242819,0.0686645508,-0.0062561035,-9.8144531253,0.0002170139,-0.0000325521,-0.0000434028
559086.3000242820,0.0679016113,-0.0024414063,-9.8147583011,-0.0003580729,0.0000217014,-0.0000434028
559086.3100242820,0.0662231445,-0.0073242188,-9.8139953616,0.0001953125,-0.0000108507,-0.0000434028
559086.3200242820,0.0688171387,0.0001525879,-9.8153686527,-0.0003038194,0.0000217014,-0.0000325521
559086.3300242820,0.0680541992,-0.0064086914,-9.8143005374,0.0001519097,-0.0000108507,-0.0000325521
559086.3400242820,0.0662231445,-0.0033569336,-9.8146057132,-0.0003146701,0.0000108507,-0.0000217014
559086.3500242820,0.0671386719,-0.0059509277,-9.8141479495,0.0001736111,-0.0000000000,0.0000000000
559086.3600242820,0.0686645508,-0.0015258789,-9.8141479495,-0.0003146701,0.0000108507,-0.0000542535
559086.3700242820,0.0686645508,-0.0068664551,-9.8146057132,0.0002604167,-0.0000434028,-0.0000108507
559086.3800242820,0.0675964355,-0.0027465820,-9.8149108890,-0.0003797743,0.0000434028,-0.0000434028
559086.3900242820,0.0668334961,-0.0065612793,-9.8144531253,0.0001844618,-0.0000000000,-0.0000325521
559086.4000242820,0.0688171387,-0.0007629395,-9.8144531253,-0.0003038194,0.0000108507,-0.0000325521
559086.4100242821,0.0682067871,-0.0061035156,-9.8144531253,0.0001953125,-0.0000000000,-0.0000108507
559086.4200242819,0.0675964355,-0.0028991699,-9.8143005374,-0.0003146701,0.0000108507,-0.0000542535
559086.4300242820,0.0665283203,-0.0059509277,-9.8147583011,0.0001736111,-0.0000000000,-0.0000542535
559086.4400242820,0.0695800781,-0.0012207031,-9.8141479495,-0.0003038194,0.0000325521,-0.0000217014
559086.4500242820,0.0679016113,-0.0068664551,-9.8139953616,0.0001736111,-0.0000108507,-0.0000434028
559086.4600242820,0.0672912598,-0.0025939941,-9.8152160648,-0.0003255208,0.0000108507,-0.0000108507
559086.4700242820,0.0677490234,-0.0054931641,-9.8147583011,0.0001519097,0.0000108507,-0.0000325521
559086.4800242820,0.0686645508,-0.0015258789,-9.8146057132,-0.0003038194,-0.0000000000,-0.0000217014
559086.4900242820,0.0675964355,-0.0068664551,-9.8138427738,0.0002170139,-0.0000000000,-0.0000434028
559086.5000242820,0.0666809082,-0.0022888184,-9.8146057132,-0.0003255208,-0.0000000000,-0.0000325521
559086.5100242820,0.0671386719,-0.0064086914,-9.8141479495,0.0001953125,-0.0000000000,-0.0000325521
559086.5200242820,0.0683593750,-0.0003051758,-9.8147583011,-0.0003255208,0.0000108507,-0.0000217014
559086.5300242821,0.0669860840,-0.0082397461,-9.8138427738,0.0001844618,-0.0000000000,-0.0000108507
559086.5400242819,0.0674438477,-0.0018310547,-9.8146057132,-0.0003255208,-0.0000000000,-0.0000325521
559086.5500242820,0.0660705566,-0.0068664551,-9.8146057132,0.0001736111,0.0000108507,-0.0000325521
559086.5600242820,0.0686645508,0.0004577637,-9.8149108890,-0.0002929687,-0.0000108507,-0.0000434028
