t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
559012.0000242130,-0.0897216797,0.0070190430,9.7817993167,-0.0005425347,0.0000108507,0.0000325521
559012.0100242130,-0.0904846191,0.0067138672,9.7816467288,0.0004774306,-0.0000217014,0.0000325521
559012.0200242130,-0.0869750977,0.0012207031,9.7814941409,-0.0006184896,-0.0000000000,0.0000325521
559012.0300242130,-0.0871276855,0.0097656250,9.7817993167,0.0004774306,-0.0000000000,0.0000325521
559012.0400242130,-0.0895690918,0.0013732910,9.7811889652,-0.0004774306,0.0000108507,0.0000325521
559012.0500242130,-0.0910949707,0.0093078613,9.7813415531,0.0001736111,-0.0000000000,0.0000217014
559012.0600242130,-0.0881958008,0.0012207031,9.7810363773,-0.0001302083,-0.0000000000,0.0000217014
559012.0700242131,-0.0866699219,0.0090026855,9.7814941409,-0.0001627604,-0.0000000000,0.0000325521
559012.0800242129,-0.0894165039,0.0050354004,9.7814941409,0.0002170139,-0.0000000000,0.0000325521
559012.0900242130,-0.0903320313,0.0050354004,9.7817993167,-0.0005099826,-0.0000000000,0.0000325521
559012.1000242130,-0.0863647461,0.0068664551,9.7816467288,0.0004774306,-0.0000325521,0.0000325521
559012.1100242130,-0.0866699219,0.0018310547,9.7813415531,-0.0006184896,0.0000108507,0.0000217014
559012.1200242130,-0.0898742676,0.0100708008,9.7814941409,0.0004557292,-0.0000000000,0.0000325521
559012.1300242130,-0.0895690918,0.0010681152,9.7814941409,-0.0004882812,-0.0000000000,0.0000325521
559012.1400242130,-0.0880432129,0.0091552734,9.7814941409,0.0001519097,-0.0000108507,0.0000325521
559012.1500242130,-0.0871276855,0.0012207031,9.7813415531,-0.0000651042,0.0000217014,0.0000325521
559012.1600242130,-0.0897216797,0.0100708008,9.7811889652,-0.0002278646,-0.0000000000,0.0000217014
559012.1700242130,-0.0900268555,0.0050354004,9.7816467288,0.0002821181,-0.0000000000,0.0000325521
559012.1800242130,-0.0874328613,0.0035095215,9.7816467288,-0.0005642361,-0.0000000000,0.0000217014
559012.1900242131,-0.0863647461,0.0065612793,9.7813415531,0.0004774306,-0.0000000000,0.0000325521
559012.2000242129,-0.0894165039,0.0033569336,9.7805786136,-0.0006401910,0.0000108507,0.0000217014
559012.2100242130,-0.0898742676,0.0097656250,9.7810363773,0.0003797743,-0.0000000000,0.0000217014
559012.2200242130,-0.0875854492,-0.0004577637,9.7819519046,-0.0003363715,-0.0000000000,0.0000434028
559012.2300242130,-0.0871276855,0.0099182129,9.7816467288,0.0000434028,-0.0000000000,0.0000325521
559012.2400242130,-0.0892639160,0.0035095215,9.7813415531,0.0000217014,-0.0000000000,0.0000217014
559012.2500242130,-0.0901794434,0.0073242188,9.7814941409,-0.0003580729,0.0000108507,0.0000217014
559012.2600242130,-0.0886535645,0.0030517578,9.7813415531,0.0003797743,-0.0000217014,0.0000434028
559012.2700242130,-0.0871276855,0.0047302246,9.7810363773,-0.0005859375,0.0000217014,0.0000217014
559012.2800242130,-0.0880432129,0.0099182129,9.7813415531,0.0004991319,-0.0000217014,0.0000542535
559012.2900242130,-0.0895690918,0.0007629395,9.7813415531,-0.0005750868,0.0000108507,0.0000217014
559012.3000242130,-0.0888061523,0.0093078613,9.7805786136,0.0004014757,-0.0000217014,0.0000325521
559012.3100242130,-0.0871276855,0.0010681152,9.7817993167,-0.0003038194,-0.0000000000,0.0000108507
559012.3200242131,-0.0895690918,0.0105285645,9.7819519046,-0.0000542535,-0.0000000000,0.0000325521
559012.3300242129,-0.0892639160,0.0024414063,9.7816467288,0.0001193576,0.0000217014,0.0000325521
559012.3400242130,-0.0888061523,0.0061035156,9.7811889652,-0.0004882812,-0.0000108507,0.0000325521
559012.3500242130,-0.0877380371,0.0065612793,9.7807312015,0.0005208333,-0.0000217014,0.0000542535
559012.3600242130,-0.0881958008,0.0033569336,9.7811889652,-0.0006401910,0.0000325521,0.0000434028
559012.3700242130,-0.0892639160,0.0093078613,9.7819519046,0.0004665799,-0.0000217014,0.0000217014
559012.3800242130,-0.0886535645,-0.0001525879,9.7810363773,-0.0004557292,-0.0000000000,0.0000217014
559012.3900242130,-0.0875854492,0.0106811523,9.7817993167,0.0001085069,0.0000108507,0.0000325521
559012.4000242130,-0.0881958008,0.0018310547,9.7817993167,-0.0000434028,-0.0000000000,0.0000325521
559012.4100242130,-0.0895690918,0.0079345703,9.7813415531,-0.0002712674,0.0000108507,0.0000325521
559012.4200242130,-0.0886535645,0.0039672852,9.7810363773,0.0003255208,-0.0000217014,0.0000325521
559012.4300242130,-0.0891113281,0.0053405762,9.7813415531,-0.0005316840,0.0000217014,0.0000217014
559012.4400242131,-0.0875854492,0.0077819824,9.7814941409,0.0004665799,-0.0000000000,0.0000325521
559012.4500242129,-0.0886535645,0.0013732910,9.7807312015,-0.0005967882,0.0000108507,0.0000325521
559012.4600242130,-0.0886535645,0.0086975098,9.7816467288,0.0003906250,-0.0000000000,0.0000434028
559012.4700242130,-0.0881958008,0.0018310547,9.7819519046,-0.0004665799,0.0000108507,0.0000434028
559012.4800242130,-0.0891113281,0.0100708008,9.7816467288,0.0001953125,-0.0000000000,0.0000217014
559012.4900242130,-0.0886535645,0.0004577637,9.7817993167,-0.0001627604,-0.0000000000,0.0000217014
559012.5000242130,-0.0880432129,0.0097656250,9.7814941409,-0.0000976562,-0.0000000000,0.0000217014
559012.5100242130,-0.0888061523,0.0035095215,9.7813415531,0.0001844618,-0.0000000000,0.0000217014
559012.5200242130,-0.0886535645,0.0065612793,9.7817993167,-0.0005316840,-0.0000000000,0.0000325521
559012.5300242130,-0.0891113281,0.0065612793,9.7808837894,0.0004882812,-0.0000217014,0.0000542535
559012.5400242130,-0.0875854492,0.0021362305,9.7814941409,-0.0006401910,0.0000217014,0.0000325521
559012.5500242130,-0.0886535645,0.0102233887,9.7819519046,0.0004557292,-0.0000000000,0.0000325521
559012.5600242130,-0.0885009766,0.0006103516,9.7813415531,-0.0004665799,0.0000108507,0.0000325521
559012.5700242131,-0.0885009766,0.0099182129,9.7816467288,0.0001736111,-0.0000108507,0.0000217014
559012.5800242129,-0.0880432129,0.0018310547,9.7811889652,-0.0000759549,-0.0000000000,0.0000217014
559012.5900242130,-0.0881958008,0.0094604492,9.7814941409,-0.0002712674,-0.0000000000,0.0000434028
559012.6000242130,-0.0891113281,0.0035095215,9.7811889652,0.0002712674,-0.0000000000,0.0000325521
559012.6100242130,-0.0885009766,0.0050354004,9.7816467288,-0.0005642361,0.0000108507,0.0000434028
559012.6200242130,-0.0881958008,0.0083923340,9.7808837894,0.0005533854,-0.0000434028,0.0000325521
559012.6300242130,-0.0880432129,0.0012207031,9.7819519046,-0.0006293403,0.0000108507,0.0000325521
