t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558958.0000241620,-0.0885009766,0.0083923340,9.7810363773,-0.0001085069,-0.0000000000,0.0000217014
558958.0100241620,-0.0901794434,0.0038146973,9.7814941409,0.0001844618,-0.0000000000,0.0000325521
558958.0200241620,-0.0903320313,0.0062561035,9.7813415531,-0.0004557292,-0.0000000000,0.0000217014
558958.0300241620,-0.0866699219,0.0057983398,9.7810363773,0.0004123264,-0.0000217014,0.0000325521
558958.0400241620,-0.0874328613,0.0030517578,9.7814941409,-0.0006184896,0.0000325521,0.0000325521
558958.0500241620,-0.0901794434,0.0080871582,9.7813415531,0.0004557292,-0.0000325521,0.0000542535
558958.0600241621,-0.0894165039,0.0012207031,9.7811889652,-0.0005425347,-0.0000000000,0.0000217014
558958.0700241619,-0.0869750977,0.0100708008,9.7813415531,0.0003146701,-0.0000000000,0.0000325521
558958.0800241620,-0.0868225098,0.0009155273,9.7813415531,-0.0002495660,-0.0000000000,0.0000217014
558958.0900241620,-0.0903320313,0.0097656250,9.7819519046,-0.0000325521,0.0000108507,0.0000325521
558958.1000241620,-0.0897216797,0.0027465820,9.7816467288,0.0000976562,-0.0000000000,0.0000325521
558958.1100241620,-0.0877380371,0.0071716309,9.7811889652,-0.0004557292,-0.0000000000,0.0000325521
558958.1200241620,-0.0874328613,0.0059509277,9.7808837894,0.0004340278,0.0000108507,0.0000325521
558958.1300241620,-0.0900268555,0.0032043457,9.7808837894,-0.0005967882,0.0000108507,0.0000325521
558958.1400241620,-0.0894165039,0.0094604492,9.7810363773,0.0005316840,-0.0000434028,0.0000325521
558958.1500241620,-0.0869750977,0.0012207031,9.7814941409,-0.0005533854,0.0000108507,0.0000325521
558958.1600241620,-0.0871276855,0.0100708008,9.7821044925,0.0002712674,-0.0000000000,0.0000434028
558958.1700241620,-0.0892639160,0.0007629395,9.7813415531,-0.0002061632,0.0000217014,0.0000325521
558958.1800241621,-0.0897216797,0.0091552734,9.7819519046,-0.0001627604,-0.0000000000,0.0000000000
558958.1900241619,-0.0872802734,0.0042724609,9.7807312015,0.0002387153,-0.0000108507,-0.0003472222
558958.2000241620,-0.0857543945,0.0062561035,9.7814941409,-0.0004882812,0.0000108507,-0.0015516493
558958.2100241620,-0.0869750977,0.0093078613,9.7816467288,0.0005099826,-0.0000000000,-0.0034830729
558958.2200241620,-0.0892639160,0.0038146973,9.7813415531,-0.0005533854,-0.0000000000,-0.0049045139
558958.2300241620,-0.0868225098,0.0108337402,9.7814941409,0.0004991319,-0.0000000000,-0.0062174479
558958.2400241620,-0.0860595703,0.0027465820,9.7814941409,-0.0004123264,0.0000108507,-0.0073242187
558958.2500241620,-0.0878906250,0.0093078613,9.7821044925,0.0002278646,-0.0000108507,-0.0079101562
558958.2600241620,-0.0889587402,0.0025939941,9.7817993167,-0.0000217014,0.0000325521,-0.0087565104
558958.2700241620,-0.0878906250,0.0094604492,9.7813415531,-0.0001085069,-0.0000000000,-0.0095811632
558958.2800241620,-0.0869750977,0.0053405762,9.7819519046,0.0003689236,-0.0000217014,-0.0101996528
558958.2900241630,-0.0872802734,0.0054931641,9.7811889652,-0.0004448785,0.0000108507,-0.0111219618
558958.3000241630,-0.0881958008,0.0073242188,9.7813415531,0.0005533854,0.0000108507,-0.0118164062
558958.3100241630,-0.0875854492,0.0048828125,9.7811889652,-0.0005316840,0.0000108507,-0.0127387153
558958.3200241630,-0.0881958008,0.0102233887,9.7813415531,0.0005316840,-0.0000108507,-0.0138780382
558958.3300241630,-0.0868225098,-0.0000000000,9.7814941409,-0.0003146701,-0.0000000000,-0.0146701389
558958.3400241630,-0.0872802734,0.0111389160,9.7817993167,0.0002604167,0.0000108507,-0.0156250000
558958.3500241630,-0.0891113281,0.0036621094,9.7816467288,0.0000434028,-0.0000217014,-0.0166341146
558958.3600241630,-0.0894165039,0.0085449219,9.7813415531,-0.0000976562,-0.0000000000,-0.0172960069
558958.3700241630,-0.0871276855,0.0039672852,9.7816467288,0.0004340278,-0.0000000000,-0.0183268229
558958.3800241631,-0.0869750977,0.0065612793,9.7814941409,-0.0003689236,0.0000325521,-0.0191948785
558958.3900241629,-0.0881958008,0.0094604492,9.7811889652,0.0006184896,-0.0000217014,-0.0199327257
558958.4000241630,-0.0883483887,0.0039672852,9.7819519046,-0.0004340278,-0.0000000000,-0.0211046007
558958.4100241630,-0.0885009766,0.0096130371,9.7813415531,0.0006293403,-0.0000325521,-0.0218315972
558958.4200241630,-0.0868225098,0.0019836426,9.7816467288,-0.0002821181,0.0000217014,-0.0225368924
558958.4300241630,-0.0863647461,0.0119018555,9.7813415531,0.0003906250,0.0000217014,-0.0236219618
