t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558510.0000237450,-9.7918973497,0.0016462343,0.0007564613,-0.0000627316,0.0000413356,0.0003472743
558510.0100237450,-9.7911227195,-0.0007912088,0.0010540211,-0.0000518750,0.0000847381,-0.0005639236
558510.0200237450,-9.7920648722,0.0042388444,0.0001488769,-0.0000410183,0.0000738874,0.0004557502
558510.0300237450,-9.7909885768,-0.0020094796,-0.0018454911,-0.0000084485,0.0000738874,-0.0005422284
558510.0400237450,-9.7926838782,0.0071342158,0.0004602967,-0.0000410183,0.0000738874,0.0002930363
558510.0500237450,-9.7914171094,-0.0038429283,0.0009026536,0.0000024082,0.0000738874,-0.0002818861
558510.0600237451,-9.7932868502,0.0056063761,0.0006171839,-0.0000410183,0.0000847381,0.0000326941
558510.0700237449,-9.7912893962,-0.0021634654,-0.0013854941,-0.0000627316,0.0000738874,0.0000218465
558510.0800237450,-9.7929873640,0.0045404937,-0.0006059200,-0.0000518750,0.0000738874,-0.0002601910
558510.0900237450,-9.7926575585,0.0019479535,0.0012204738,-0.0000518750,0.0000738874,0.0002496459
558510.1000237450,-9.7920500280,0.0001206871,-0.0000055163,0.0000024082,0.0000847381,-0.0004879904
558510.1100237450,-9.7922223385,0.0036285281,-0.0007651920,-0.0000301617,0.0000521862,0.0004665978
558510.1200237450,-9.7909762771,-0.0007902364,0.0002902035,-0.0000084485,0.0000847381,-0.0005964664
558510.1300237450,-9.7931342579,0.0062169702,0.0009212137,-0.0000953015,0.0000738874,0.0003581219
558510.1400237450,-9.7912694486,-0.0038420253,0.0002913459,-0.0000301617,0.0000630368,-0.0003252765
558510.1500237450,-9.7929981012,0.0069809939,-0.0007573136,-0.0000627316,0.0000847381,0.0000760844
558510.1600237450,-9.7915877499,-0.0020126056,-0.0004678284,-0.0000084485,0.0000738874,-0.0000432391
558510.1700237450,-9.7923638781,0.0039322622,0.0007613139,0.0000024082,0.0000738874,-0.0002818861
558510.1800237451,-9.7926546986,-0.0000346187,0.0006095279,-0.0000410183,0.0000738874,0.0003038839
558510.1900237449,-9.7917552438,0.0008849888,-0.0009227635,-0.0000084485,0.0000413356,-0.0005205332
558510.2000237450,-9.7922264742,0.0050012009,-0.0006120544,-0.0000627316,0.0000738874,0.0004340550
558510.2100237450,-9.7920331982,-0.0023201602,0.0009084262,-0.0000410183,0.0000847381,-0.0005422284
558510.2200237450,-9.7931379995,0.0053022253,0.0000057366,-0.0000518750,0.0000738874,0.0003472743
558510.2300237450,-9.7908226670,-0.0023146025,-0.0003218018,0.0000024082,0.0000955887,-0.0003795145
558510.2400237450,-9.7922250837,0.0068310378,0.0004563510,-0.0000193051,0.0000630368,0.0001194748
558510.2500237450,-9.7918862470,-0.0033866679,-0.0003134089,-0.0000193051,0.0000738874,-0.0001083246
558510.2600237450,-9.7923777906,0.0050005062,-0.0004582759,-0.0000301617,0.0000738874,-0.0001300198
558510.2700237450,-9.7914392647,0.0002756456,0.0001419883,-0.0000518750,0.0000630368,0.0001303224
558510.2800237450,-9.7922066126,0.0024076878,0.0006068378,-0.0000518750,0.0000738874,-0.0004012097
558510.2900237450,-9.7919022237,0.0016465121,0.0001464223,-0.0000518750,0.0000847381,0.0003472743
558510.3000237450,-9.7917456391,-0.0006404887,-0.0004659318,0.0000132648,0.0000630368,-0.0005205332
558510.3100237451,-9.7928317112,0.0053034064,0.0001557089,-0.0000301617,0.0000738874,0.0004123598
558510.3200237449,-9.7912795335,-0.0009440833,0.0004451810,-0.0000193051,0.0000955887,-0.0004988380
558510.3300237450,-9.7928286505,0.0054557250,0.0006133079,-0.0000410183,0.0000413356,0.0003038839
558510.3400237450,-9.7908209683,-0.0036871365,-0.0007799589,-0.0000410183,0.0000847381,-0.0003686669
558510.3500237450,-9.7925385970,0.0077452265,-0.0001507320,-0.0000627316,0.0000738874,0.0001411700
558510.3600237450,-9.7920326320,-0.0027776716,0.0007557071,-0.0000301617,0.0000738874,-0.0001408674
558510.3700237450,-9.7925145996,0.0037790406,0.0009150226,-0.0000084485,0.0000847381,-0.0001625626
558510.3800237450,-9.7915882015,-0.0003351567,0.0002954877,-0.0000410183,0.0000630368,0.0002279508
558510.3900237450,-9.7922157370,0.0025607008,-0.0004606607,-0.0000301617,0.0000738874,-0.0004988380
558510.4000237450,-9.7919068397,0.0043916494,0.0009102267,-0.0000735882,0.0000738874,0.0004232074
558510.4100237450,-9.7918849998,-0.0030817529,-0.0000082499,-0.0000301617,0.0000738874,-0.0005639236
558510.4200237450,-9.7928274894,0.0048456868,0.0004605191,-0.0000518750,0.0000738874,0.0003689695
558510.4300237451,-9.7915907245,-0.0012499711,-0.0004674796,0.0000024082,0.0000847381,-0.0003903621
558510.4400237449,-9.7922221378,0.0057634188,0.0003033529,-0.0000301617,0.0000738874,0.0001628652
558510.4500237450,-9.7914183280,-0.0038428589,0.0007501439,0.0000024082,0.0000738874,-0.0001408674
558510.4600237450,-9.7925339237,0.0056100580,-0.0006092379,-0.0000301617,0.0000738874,-0.0000649343
558510.4700237450,-9.7917468002,-0.0000304504,-0.0003131430,-0.0000735882,0.0000630368,0.0000977796
558510.4800237450,-9.7923689242,0.0021026336,-0.0007646208,-0.0000410183,0.0000738874,-0.0003686669
558510.4900237450,-9.7920511318,0.0013406941,0.0004525710,-0.0000518750,0.0000738874,0.0003255791
558510.5000237450,-9.7920524363,0.0004258103,-0.0001578865,0.0000024082,0.0000630368,-0.0004988380
558510.5100237450,-9.7934389049,0.0042332863,0.0000077858,-0.0000193051,0.0000847381,0.0004123598
558510.5200237450,-9.7909763631,-0.0017051896,-0.0001677443,-0.0000193051,0.0000738874,-0.0005205332
558510.5300237450,-9.7919122226,0.0054594072,0.0007582052,-0.0000410183,0.0000738874,0.0003581219
558510.5400237460,-9.7911217303,-0.0032311535,-0.0000146634,-0.0000193051,0.0000955887,-0.0003686669
558510.5500237460,-9.7932988632,0.0074369769,0.0000079819,-0.0000735882,0.0000738874,0.0000760844
558510.5600237460,-9.7914274237,-0.0033848615,-0.0001647054,-0.0000084485,0.0000738874,-0.0000432391
558510.5700237460,-9.7922113719,0.0036279031,0.0006073959,-0.0000084485,0.0000738874,-0.0002059530
558510.5800237460,-9.7917472518,0.0016469985,0.0004501731,-0.0000410183,0.0000630368,0.0002279508
558510.5900237460,-9.7912939548,0.0011916407,-0.0003163912,-0.0000193051,0.0000738874,-0.0004988380
558510.6000237460,-9.7926648409,0.0022533545,0.0004580645,-0.0000735882,0.0000738874,0.0004340550
558510.6100237460,-9.7911336860,-0.0007905839,-0.0003185668,-0.0000301617,0.0000738874,-0.0005530760
558510.6200237460,-9.7931391320,0.0062172479,0.0003111746,-0.0000627316,0.0000738874,0.0003906647
558510.6300237461,-9.7917306515,-0.0032337240,0.0001429214,0.0000024082,0.0000847381,-0.0004662952
