t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558383.0000236270,9.7958032236,0.0013263435,-0.0002259395,0.0000241214,0.0000738874,0.0000760844
558383.0100236270,9.7948849536,0.0011702733,-0.0006759261,0.0000241214,0.0000738874,0.0000435417
558383.0200236270,9.7947294727,0.0022372670,-0.0005216593,0.0000241214,0.0000738874,0.0000435417
558383.0300236270,9.7954988634,0.0023925036,0.0003871253,0.0000458347,0.0000955887,0.0000652368
558383.0400236270,9.7950502398,0.0007126928,0.0006951837,0.0000241214,0.0000738874,0.0000869320
558383.0500236270,9.7954962830,0.0008677205,-0.0006811405,0.0000458347,0.0000630368,0.0000435417
558383.0600236270,9.7951894858,0.0019340195,-0.0003730952,0.0000132648,0.0000955887,0.0000435417
558383.0700236270,9.7953535822,0.0017814929,0.0009981541,0.0000132648,0.0000630368,0.0000977796
558383.0800236270,9.7959654779,0.0010214289,0.0008402206,0.0000132648,0.0000738874,0.0000760844
558383.0900236270,9.7950435810,0.0011705513,0.0000853540,0.0000349781,0.0000630368,0.0000109989
558383.1000236270,9.7956452484,0.0017835073,-0.0006819907,0.0000675479,0.0000738874,0.0000652368
558383.1100236271,9.7951901381,0.0023914614,-0.0000678665,0.0000458347,0.0000738874,0.0000543893
558383.1200236270,9.7961161994,0.0011746505,0.0006865119,0.0000132648,0.0000738874,0.0000326941
558383.1300236270,9.7956542869,0.0007155411,-0.0000724400,0.0000458347,0.0000630368,0.0000543893
558383.1400236270,9.7954915524,0.0023929203,-0.0005279332,0.0000241214,0.0000738874,0.0000760844
558383.1500236270,9.7951949548,0.0017812149,0.0002368740,0.0000349781,0.0000738874,0.0000543893
558383.1600236270,9.7959672053,-0.0000461206,0.0005347128,0.0000458347,0.0000738874,0.0000543893
558383.1700236270,9.7954993723,0.0013250235,-0.0000708922,0.0000349781,0.0000738874,0.0000435417
558383.1800236270,9.7954891727,0.0030030279,-0.0005276542,0.0000349781,0.0000738874,0.0000326941
558383.1900236270,9.7954981538,0.0013250930,-0.0002234020,0.0000132648,0.0000738874,0.0000977796
558383.2000236270,9.7956549105,0.0008679986,0.0000801395,0.0000241214,0.0000847381,0.0000326941
558383.2100236270,9.7953462138,0.0011719408,-0.0002222030,0.0000241214,0.0000738874,0.0000543893
558383.2200236270,9.7954915237,0.0020879359,-0.0006805825,0.0000349781,0.0000955887,0.0000760844
558383.2300236271,9.7951943312,0.0016287574,0.0000842945,0.0000892612,0.0000738874,0.0000760844
558383.2400236269,9.7953553383,0.0010189278,0.0008452955,0.0004041035,0.0000738874,0.0000326941
558383.2500236270,9.7962705191,0.0007176951,0.0006850339,0.0013920567,0.0000521862,0.0000652368
558383.2600236270,9.7945884133,0.0011685366,0.0003941797,0.0033353934,0.0000738874,0.0000977796
558383.2700236270,9.7950436097,0.0014755357,0.0002380033,0.0047576118,0.0000521862,0.0000869320
558383.2800236270,9.7956645725,-0.0000475101,0.0008422698,0.0060604073,0.0000738874,0.0001303224
