t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558329.0000235760,9.7953659608,-0.0026415099,0.0003860921,0.0000349781,0.0000738874,-0.0001191722
558329.0100235760,9.7956544589,0.0025454475,0.0008434556,0.0000349781,0.0000738874,0.0004340550
558329.0200235760,9.7957912966,0.0040718975,-0.0003771936,0.0000349781,0.0000738874,-0.0004120573
558329.0300235760,9.7949022348,-0.0029480229,-0.0005252997,0.0000349781,0.0000955887,0.0005642262
558329.0400235760,9.7957813264,0.0081897770,0.0003872386,0.0000024082,0.0000955887,-0.0004229049
558329.0500235760,9.7950716281,-0.0050832606,0.0005400233,0.0000349781,0.0000413356,0.0005099882
558329.0600235760,9.7957788894,0.0081899159,0.0000822191,0.0000241214,0.0000738874,-0.0002601910
558329.0700235760,9.7947604084,-0.0056941327,-0.0005252866,0.0000241214,0.0000738874,0.0002496459
558329.0800235770,9.7959363557,0.0088002322,0.0009962879,0.0000349781,0.0000738874,0.0000326941
558329.0900235770,9.7946039671,-0.0018822100,0.0008503139,0.0000458347,0.0000738874,-0.0000757819
558329.1000235770,9.7953377703,0.0020873800,-0.0008318235,0.0000349781,0.0000413356,0.0004123598
558329.1100235770,9.7956350775,0.0037664961,-0.0009861034,-0.0000084485,0.0000955887,-0.0003903621
558329.1200235770,9.7946015588,-0.0015770867,0.0006979436,0.0000458347,0.0000738874,0.0005533786
558329.1300235770,9.7963890003,0.0078874326,-0.0000755051,0.0000132648,0.0000738874,-0.0004229049
558329.1400235770,9.7939977339,-0.0056972591,-0.0005189429,0.0000349781,0.0000738874,0.0005099882
558329.1500235770,9.7965331491,0.0094134660,-0.0003810958,0.0000458347,0.0000738874,-0.0002276482
558329.1600235770,9.7941533581,-0.0052393308,0.0000900366,0.0000458347,0.0000738874,0.0001303224
558329.1700235771,9.7956389624,0.0062061630,0.0006926200,0.0000349781,0.0000738874,0.0002171032
558329.1800235769,9.7953497833,0.0002567793,-0.0002226215,0.0000241214,0.0000738874,-0.0002818861
558329.1900235770,9.7948897702,0.0005600267,-0.0003711856,0.0000241214,0.0000847381,0.0005316834
558329.2000235770,9.7959396671,0.0051402112,-0.0003779740,0.0000241214,0.0000738874,-0.0004337525
558329.2100235770,9.7947617416,-0.0044742646,0.0002378202,0.0000458347,0.0000738874,0.0005316834
558329.2200235770,9.7971481054,0.0088057205,-0.0000814303,0.0000349781,0.0000738874,-0.0003252765
558329.2300235770,9.7939911324,-0.0046294318,-0.0008234741,0.0000349781,0.0000738874,0.0003689695
558329.2400235770,9.7962358992,0.0083443187,0.0000784826,0.0000132648,0.0000738874,-0.0001083246
558329.2500235770,9.7947696189,-0.0049321925,0.0010001598,0.0000349781,0.0000738874,0.0000977796
558329.2600235770,9.7953236070,0.0069679636,-0.0002195523,0.0000241214,0.0000738874,0.0001737128
558329.2700235770,9.7955047266,-0.0000477187,-0.0000715200,0.0000241214,0.0000847381,-0.0001625626
558329.2800235770,9.7953583129,0.0002562932,0.0008449468,0.0000349781,0.0000738874,0.0004123598
558329.2900235771,9.7956374859,0.0034613728,-0.0008337332,0.0000349781,0.0000738874,-0.0003361241
558329.3000235769,9.7948987800,-0.0008129239,0.0000857159,0.0000349781,0.0000521862,0.0005099882
558329.3100235770,9.7957969089,0.0054440148,0.0009960220,0.0000241214,0.0001064393,-0.0003903621
558329.3200235770,9.7941546626,-0.0043244471,0.0007004942,0.0000241214,0.0000304849,0.0005099882
558329.3300235770,9.7962377126,0.0081917223,0.0002309226,0.0000241214,0.0000955887,-0.0003144289
558329.3400235770,9.7939916987,-0.0050869431,-0.0009761932,0.0000566913,0.0000738874,0.0003255791
558329.3500235770,9.7957843870,0.0083420956,0.0008448376,0.0000349781,0.0000955887,-0.0000649343
558329.3600235770,9.7946183312,-0.0046279028,0.0013065875,0.0000675479,0.0000413356,0.0000326941
558329.3700235770,9.7959377963,0.0046828387,-0.0008357126,0.0000241214,0.0000630368,0.0002604935
558329.3800235770,9.7948836777,0.0005603739,-0.0011337344,-0.0000084485,0.0000955887,-0.0002818861
558329.3900235770,9.7950543755,-0.0006599800,0.0005420462,0.0000458347,0.0000738874,0.0005099882
558329.4000235770,9.7956443740,0.0054433895,0.0009972908,0.0000349781,0.0000955887,-0.0004120573
558329.4100235770,9.7946032289,-0.0032546051,0.0000871373,0.0000349781,0.0000304849,0.0005208358
