t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
557721.0000230100,-0.0024115377,9.7930926279,-0.0001136845,-0.0008009824,0.0001389912,0.0000001513
557721.0100230100,-0.0007813188,9.7915772920,-0.0068387675,0.0009252217,0.0000847381,0.0000001513
557721.0200230100,0.0007270651,9.7949300403,0.0117575390,-0.0007466993,0.0001064393,-0.0000106963
557721.0300230100,-0.0003646344,9.7905140486,-0.0124859231,-0.0000084485,0.0001281405,0.0000001513
557721.0400230100,-0.0020711025,9.7933968491,0.0044592103,0.0005560963,0.0000738874,0.0000109989
557721.0500230100,-0.0013022780,9.7940095971,0.0055207139,-0.0010723981,0.0001172899,-0.0000106963
557721.0600230100,0.0005408270,9.7905183558,-0.0137136136,0.0007949421,0.0000955887,0.0000001513
557721.0700230100,-0.0001814856,9.7944684301,0.0123749811,-0.0003015774,0.0001064393,0.0000001513
557721.0800230100,-0.0018423757,9.7914200410,-0.0060674073,-0.0005295667,0.0001064393,-0.0000215439
557721.0900230100,-0.0012139298,9.7917264849,-0.0036321866,0.0008817951,0.0000955887,0.0000109989
557721.1000230100,0.0000956159,9.7950812465,0.0091700178,-0.0010181150,0.0001172899,0.0000001513
557721.1100230101,-0.0005190401,9.7900560509,-0.0129423929,0.0003823902,0.0001064393,0.0000109989
557721.1200230099,-0.0012747613,9.7950754801,0.0094864559,0.0001218311,0.0000955887,0.0000001513
557721.1300230100,-0.0013456354,9.7929446168,-0.0004276549,-0.0008226957,0.0000955887,0.0000001513
557721.1400230100,-0.0000357320,9.7912764061,-0.0091328971,0.0010012181,0.0000955887,0.0000001513
557721.1500230100,-0.0003418118,9.7958406859,0.0120718582,-0.0007358426,0.0001064393,0.0000109989
557721.1600230100,-0.0018765799,9.7905070321,-0.0107956284,-0.0000953015,0.0001172899,0.0000109989
557721.1700230100,-0.0010046053,9.7930963111,0.0041451701,0.0006212360,0.0001064393,0.0000001513
557721.1800230100,-0.0003851978,9.7944707212,0.0059708400,-0.0010398282,0.0001172899,0.0000001513
557721.1900230100,-0.0002151314,9.7906673397,-0.0127921416,0.0007189457,0.0001064393,0.0000001513
557721.2000230100,-0.0012553225,9.7944644003,0.0116213135,-0.0002147244,0.0000955887,-0.0000215439
557721.2100230100,-0.0016830673,9.7921827453,-0.0048482492,-0.0005838498,0.0001172899,-0.0000106963
557721.2200230100,0.0001546339,9.7918848476,-0.0041010648,0.0009143650,0.0001172899,0.0000001513
557721.2300230101,-0.0006512181,9.7950772174,0.0111589883,-0.0009855451,0.0001064393,-0.0000106963
557721.2400230099,-0.0011249006,9.7902057990,-0.0123272091,0.0002629673,0.0000738874,0.0000109989
557721.2500230100,-0.0006763552,9.7934012267,0.0071929673,0.0002955372,0.0001064393,0.0000001513
557721.2600230100,-0.0008861886,9.7930988806,-0.0001263719,-0.0009312620,0.0001172899,-0.0000106963
557721.2700230100,-0.0005025186,9.7908175745,-0.0105018880,0.0009143650,0.0001064393,0.0000001513
557721.2800230100,-0.0007897545,9.7949233014,0.0128377946,-0.0006164197,0.0001064393,0.0000001513
557721.2900230100,-0.0009564678,9.7908154904,-0.0100405525,-0.0001495846,0.0000955887,0.0000001513
557721.3000230100,0.0003492790,9.7926455383,0.0015408763,0.0006538059,0.0000847381,0.0000001513
557721.3100230100,-0.0002284125,9.7943186113,0.0064270308,-0.0010723981,0.0001498418,0.0000001513
557721.3200230100,-0.0015807206,9.7897463424,-0.0123236122,0.0006320927,0.0000955887,0.0000001513
557721.3300230100,-0.0011100700,9.7947704266,0.0108576355,-0.0000735882,0.0001172899,-0.0000215439
557721.3400230110,-0.0006116388,9.7924918984,-0.0042469518,-0.0006815595,0.0001064393,0.0000001513
557721.3500230110,0.0004432109,9.7914295590,-0.0063914579,0.0009252217,0.0000955887,0.0000001513
557721.3600230110,-0.0009423181,9.7946176917,0.0126864141,-0.0009204053,0.0001389912,0.0000001513
557721.3700230110,-0.0011188654,9.7895954830,-0.0118699589,0.0001761142,0.0000847381,0.0000109989
557721.3800230110,-0.0000826510,9.7935571575,0.0052053352,0.0004366733,0.0000955887,0.0000001513
557721.3900230110,-0.0005615653,9.7937089890,0.0026165453,-0.0010181150,0.0001172899,-0.0000106963
557721.4000230110,-0.0008076457,9.7902063552,-0.0108046490,0.0008275120,0.0000847381,0.0000001513
557721.4100230110,-0.0012455458,9.7947688292,0.0129940409,-0.0004644269,0.0001172899,0.0000001513
557721.4200230110,-0.0003316774,9.7911221426,-0.0080628611,-0.0002907208,0.0000955887,0.0000001513
557721.4300230111,-0.0004311069,9.7921859422,-0.0008931454,0.0007515156,0.0000738874,0.0000109989
557721.4400230109,-0.0014304141,9.7943125675,0.0087248271,-0.0010941114,0.0001172899,0.0000001513
557721.4500230110,-0.0009791105,9.7897493296,-0.0133962555,0.0005343830,0.0000847381,0.0000109989
557721.4600230110,-0.0005067038,9.7940108487,0.0096321337,0.0000349781,0.0001172899,-0.0000215439
557721.4700230110,-0.0008971838,9.7927945212,-0.0016516090,-0.0008009824,0.0001498418,-0.0000106963
557721.4800230110,-0.0006288126,9.7912729329,-0.0069926855,0.0009577916,0.0000738874,0.0000001513
557721.4900230110,-0.0009483532,9.7952280077,0.0122291639,-0.0008118390,0.0001172899,0.0000218465
