t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
557661.0000229540,-0.0010935771,9.7952269658,0.0131454911,-0.0008009824,0.0001172899,-0.0000106963
557661.0100229540,-0.0012774642,9.7899001893,-0.0124785897,0.0001109745,0.0000955887,0.0000001513
557661.0200229540,0.0002150791,9.7932538402,0.0041350900,0.0004366733,0.0000847381,0.0000001513
557661.0300229540,-0.0016225935,9.7938567223,0.0035405548,-0.0010615415,0.0001389912,-0.0000106963
557661.0400229540,-0.0012664116,9.7908145176,-0.0106480540,0.0008492253,0.0000738874,0.0000109989
557661.0500229540,-0.0012540180,9.7953792841,0.0122317711,-0.0003884305,0.0001064393,0.0000001513
557661.0600229540,-0.0006494412,9.7921890665,-0.0091274036,-0.0004101437,0.0001172899,0.0000001513
557661.0700229540,-0.0004353860,9.7920336930,-0.0015032542,0.0008275120,0.0000847381,0.0000001513
557661.0800229540,-0.0006609948,9.7947727885,0.0097862610,-0.0010072584,0.0001389912,-0.0000106963
557661.0900229540,-0.0015977224,9.7903572833,-0.0141534503,0.0005235264,0.0001064393,0.0000001513
557661.1000229541,-0.0011228786,9.7946186635,0.0091799584,0.0000132648,0.0000955887,0.0000109989
557661.1100229539,0.0004792859,9.7927999404,-0.0012054983,-0.0008335523,0.0001172899,0.0000109989
557661.1200229540,-0.0010918576,9.7917288461,-0.0074461993,0.0009795048,0.0000738874,0.0000001513
557661.1300229540,-0.0027842698,9.7950683247,0.0114817702,-0.0007901258,0.0001172899,0.0000001513
557661.1400229540,-0.0008154944,9.7909692675,-0.0114143393,0.0000349781,0.0001172899,0.0000109989
557661.1500229540,-0.0002456149,9.7927946614,0.0035286479,0.0005560963,0.0000955887,-0.0000106963
557661.1600229540,-0.0016048822,9.7943131921,0.0059809202,-0.0010832548,0.0001172899,-0.0000106963
557661.1700229540,-0.0028070637,9.7900466718,-0.0129233618,0.0007623722,0.0000847381,0.0000109989
557661.1800229540,0.0005799991,9.7947766103,0.0123687770,-0.0002907208,0.0000955887,0.0000001513
557661.1900229540,0.0004517978,9.7920390417,-0.0050185911,-0.0004969968,0.0001172899,0.0000001513
557661.2000229540,-0.0015153441,9.7917250260,-0.0031721199,0.0008275120,0.0000847381,0.0000001513
557661.2100229550,-0.0017360215,9.7950738126,0.0090327329,-0.0009529752,0.0001064393,0.0000001513
557661.2200229550,-0.0000669330,9.7899057470,-0.0137088176,0.0004041035,0.0001172899,0.0000001513
557661.2300229550,0.0002578702,9.7947763319,0.0102361778,0.0000675479,0.0000847381,0.0000001513
