t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
559086.0000242810,0.0012205349,0.0007716461,-9.7931858393,-0.0002907208,0.0000955887,-0.0000323915
559086.0100242810,-0.0018260562,-0.0009185166,-9.7934662514,0.0001109745,0.0000413356,-0.0000323915
559086.0200242810,-0.0012147267,-0.0012210693,-9.7934714658,-0.0002364377,0.0000955887,-0.0000323915
559086.0300242810,-0.0010597261,-0.0009155985,-9.7930150658,0.0001326877,0.0000738874,-0.0000432391
559086.0400242810,0.0003124931,-0.0007574441,-9.7930264147,-0.0002472943,0.0000955887,-0.0000432391
559086.0500242810,0.0000061475,-0.0013685940,-9.7934816855,0.0000892612,0.0000304849,-0.0000432391
559086.0600242810,-0.0027383197,-0.0019898873,-9.7936116370,-0.0002038678,0.0000955887,-0.0000215439
559086.0700242820,-0.0012212421,0.0007617111,-9.7933180492,0.0000241214,0.0000738874,-0.0000323915
559086.0800242820,0.0013867816,-0.0024308633,-9.7930360631,-0.0001821545,0.0000847381,-0.0000323915
559086.0900242820,-0.0012248976,0.0007619195,-9.7937755785,0.0001001178,0.0000413356,-0.0000323915
559086.1000242820,-0.0024331639,-0.0010736835,-9.7931562267,-0.0002038678,0.0000955887,-0.0000323915
559086.1100242820,-0.0018303066,-0.0007657814,-9.7939237109,0.0000675479,0.0000196343,-0.0000432391
559086.1200242820,-0.0002927725,-0.0007602230,-9.7924113007,-0.0002364377,0.0001064393,-0.0000323915
559086.1300242820,-0.0015238749,0.0007603217,-9.7930104922,0.0001001178,0.0000196343,-0.0000215439
559086.1400242820,-0.0019750503,-0.0021392878,-9.7936180504,-0.0002364377,0.0001064393,-0.0000432391
559086.1500242820,-0.0016711129,-0.0012230146,-9.7933151499,0.0001218311,0.0000413356,-0.0000106963
559086.1600242821,-0.0000040235,0.0006143948,-9.7937857982,-0.0002038678,0.0001172899,-0.0000432391
559086.1700242819,0.0001502962,0.0001574393,-9.7937872762,0.0001218311,0.0000413356,-0.0000323915
559086.1800242820,-0.0018176700,-0.0024439247,-9.7931619294,-0.0002472943,0.0000847381,-0.0000432391
559086.1900242820,-0.0019779962,-0.0010716688,-9.7934650524,0.0000892612,0.0000738874,-0.0000432391
559086.2000242820,-0.0001487098,-0.0001491429,-9.7931748392,-0.0002690076,0.0000847381,-0.0000323915
559086.2100242820,-0.0007570360,-0.0003042403,-9.7930173242,0.0001544010,0.0000413356,-0.0000106963
559086.2200242820,-0.0009084671,-0.0015248726,-9.7934741428,-0.0002907208,0.0000955887,-0.0000323915
559086.2300242820,-0.0021257144,-0.0016825406,-9.7931590432,0.0001544010,0.0000738874,-0.0000106963
559086.2400242820,0.0004542622,0.0013786969,-9.7933317263,-0.0002798642,0.0001064393,-0.0000432391
559086.2500242820,-0.0004526471,-0.0010654160,-9.7934777398,0.0001544010,0.0000413356,-0.0000432391
559086.2600242820,-0.0012206759,0.0003041998,-9.7934707683,-0.0003232907,0.0000955887,-0.0000432391
559086.2700242820,-0.0021185181,-0.0029028948,-9.7928545817,0.0001869709,0.0000738874,-0.0000106963
559086.2800242821,0.0004494742,0.0022939278,-9.7934838175,-0.0003124341,0.0000847381,-0.0000215439
559086.2900242819,-0.0001392198,-0.0028945579,-9.7933286045,0.0002195408,0.0000413356,-0.0000432391
559086.3000242820,-0.0009192042,0.0009156275,-9.7936255365,-0.0003558606,0.0000955887,-0.0000432391
559086.3100242820,-0.0025719584,-0.0039724591,-9.7928512638,0.0001978275,0.0000630368,-0.0000432391
559086.3200242820,-0.0000189824,0.0035126145,-9.7942420021,-0.0003015774,0.0000955887,-0.0000323915
559086.3300242820,-0.0007475460,-0.0030496554,-9.7931710896,0.0001544010,0.0000630368,-0.0000323915
559086.3400242820,-0.0025923002,-0.0000064815,-9.7934594891,-0.0003124341,0.0000847381,-0.0000215439
559086.3500242820,-0.0016633217,-0.0025958957,-9.7930107581,0.0001761142,0.0000738874,0.0000001513
559086.3600242820,-0.0001552252,0.0018336376,-9.7930214226,-0.0003124341,0.0000847381,-0.0000540867
559086.3700242820,-0.0001380586,-0.0035045962,-9.7934813933,0.0002629673,0.0000304849,-0.0000106963
559086.3800242820,-0.0012243027,0.0006093925,-9.7937756483,-0.0003775739,0.0001172899,-0.0000432391
559086.3900242820,-0.0019684488,-0.0032071151,-9.7933135192,0.0001869709,0.0000738874,-0.0000323915
559086.4000242820,-0.0000081018,0.0025970364,-9.7933273621,-0.0003015774,0.0000847381,-0.0000323915
559086.4100242821,-0.0005974194,-0.0027439068,-9.7933247286,0.0001978275,0.0000738874,-0.0000106963
559086.4200242819,-0.0012188338,0.0004565879,-9.7931656790,-0.0003124341,0.0000847381,-0.0000540867
559086.4300242820,-0.0022783353,-0.0025981191,-9.7936157222,0.0001761142,0.0000738874,-0.0000540867
559086.4400242820,0.0007587945,0.0021424431,-9.7930288955,-0.0003015774,0.0001064393,-0.0000215439
559086.4500242820,-0.0008958591,-0.0035080003,-9.7928650106,0.0001761142,0.0000630368,-0.0000432391
559086.4600242820,-0.0015324045,0.0007608078,-9.7940780606,-0.0003232907,0.0000847381,-0.0000106963
559086.4700242820,-0.0010598408,-0.0021355361,-9.7936256629,0.0001544010,0.0000847381,-0.0000323915
559086.4800242820,-0.0001588807,0.0018338459,-9.7934789519,-0.0003015774,0.0000738874,-0.0000215439
559086.4900242820,-0.0011997104,-0.0035093203,-9.7927099634,0.0002195408,0.0000738874,-0.0000432391
559086.5000242820,-0.0021388599,0.0010630828,-9.7934628071,-0.0003232907,0.0000738874,-0.0000323915
559086.5100242820,-0.0016615369,-0.0030534765,-9.7930109674,0.0001978275,0.0000738874,-0.0000323915
559086.5200242820,-0.0004699283,0.0030528802,-9.7936283661,-0.0003232907,0.0000847381,-0.0000215439
559086.5300242821,-0.0018044958,-0.0048845636,-9.7927055162,0.0001869709,0.0000738874,-0.0000106963
559086.5400242819,-0.0013779701,0.0015237899,-9.7934689415,-0.0003232907,0.0000738874,-0.0000323915
559086.5500242820,-0.0027311520,-0.0035152259,-9.7934598248,0.0001761142,0.0000847381,-0.0000323915
559086.5600242820,-0.0001690516,0.0038168347,-9.7937830645,-0.0002907208,0.0000630368,-0.0000432391
559086.5700242820,0.0003327777,-0.0053333905,-9.7927234878,0.0001761142,0.0001064393,-0.0000432391
559086.5800242820,-0.0016859285,0.0032001271,-9.7930081074,-0.0002472943,0.0000196343,-0.0000323915
559086.5900242820,-0.0019654742,-0.0039697497,-9.7933138680,0.0000458347,0.0001281405,-0.0000323915
559086.6000242820,-0.0015310139,0.0025906447,-9.7930096552,-0.0001387280,0.0000413356,-0.0000323915
559086.6100242820,-0.0005890332,-0.0042693149,-9.7930204066,0.0000024082,0.0000955887,-0.0000323915
559086.6200242820,0.0001437808,0.0021402198,-9.7936338596,-0.0000627316,0.0000087837,-0.0000432391
559086.6300242820,-0.0016640026,-0.0033583220,-9.7934686362,-0.0000410183,0.0001172899,-0.0000540867
559086.6400242820,-0.0010740901,0.0018300943,-9.7934713394,-0.0000084485,0.0000196343,-0.0000432391
559086.6500242820,-0.0005950111,-0.0030490301,-9.7931723583,-0.0001387280,0.0001064393,-0.0000215439
559086.6600242821,-0.0021304451,-0.0001573409,-9.7930058358,0.0000566913,0.0000304849,-0.0000323915
559086.6700242819,-0.0021359427,-0.0003095206,-9.7937684544,-0.0002255810,0.0001064393,-0.0000323915
559086.6800242820,-0.0012098814,-0.0015263315,-9.7930140761,0.0001218311,0.0000413356,-0.0000323915
559086.6900242820,-0.0007589067,-0.0007616128,-9.7934750628,-0.0002907208,0.0000955887,-0.0000432391
559086.7000242820,-0.0013679139,-0.0016791365,-9.7937754259,0.0001761142,0.0000630368,-0.0000323915
559086.7100242820,-0.0007623902,0.0010685019,-9.7930166964,-0.0002907208,0.0000847381,-0.0000540867
559086.7200242820,-0.0012087202,-0.0021363697,-9.7931668648,0.0001544010,0.0000955887,-0.0000323915
559086.7300242820,-0.0010687072,0.0007623364,-9.7933193180,-0.0003667172,0.0000413356,-0.0000323915
559086.7400242820,-0.0008977012,-0.0036603883,-9.7931700999,0.0001978275,0.0000955887,-0.0000432391
559086.7500242820,-0.0009262859,0.0033559193,-9.7933194009,-0.0002907208,0.0000196343,-0.0000323915
559086.7600242820,-0.0014988598,-0.0053408244,-9.7928607727,0.0001435444,0.0001064393,-0.0000106963
559086.7700242820,-0.0004723367,0.0033580034,-9.7937807363,-0.0001495846,0.0000304849,-0.0000432391
559086.7800242821,-0.0010454194,-0.0042712602,-9.7928640907,-0.0000518750,0.0001281405,-0.0000323915
559086.7900242819,-0.0019887620,0.0010638469,-9.7937690953,0.0000241214,-0.0000020669,-0.0000432391
559086.8000242820,-0.0009054638,-0.0019825228,-9.7933218423,-0.0002255810,0.0001606924,-0.0000323915
559086.8100242820,0.0000055239,-0.0015210515,-9.7936342650,0.0001869709,-0.0000020669,-0.0000106963
559086.8200242820,0.0004554520,0.0010736430,-9.7933318658,-0.0003232907,0.0001498418,-0.0000432391
559086.8300242820,-0.0016681957,-0.0025956180,-9.7936207972,0.0001978275,0.0000196343,-0.0000432391
559086.8400242820,-0.0018300772,0.0016740938,-9.7927025167,-0.0003232907,0.0001498418,-0.0000432391
559086.8500242820,-0.0010526731,-0.0036608747,-9.7934738507,0.0001001178,0.0000196343,-0.0000215439
559086.8600242820,-0.0000129472,0.0029022985,-9.7937847518,-0.0002255810,0.0001172899,-0.0000323915
559086.8700242820,-0.0016506850,-0.0042740390,-9.7922489767,0.0000349781,0.0000304849,-0.0000323915
559086.8800242820,-0.0006147580,0.0007644206,-9.7937806535,-0.0000084485,0.0000847381,-0.0000323915
559086.8900242820,-0.0009121226,-0.0015246643,-9.7939316721,-0.0002038678,0.0000738874,-0.0000323915
559086.9000242820,-0.0001390477,-0.0010646515,-9.7924127089,0.0001435444,0.0000738874,-0.0000323915
559086.9100242821,-0.0024409551,0.0002991976,-9.7934606184,-0.0002907208,0.0000847381,-0.0000432391
559086.9200242819,-0.0009073632,-0.0027448796,-9.7939322301,0.0000892612,0.0000847381,-0.0000215439
559086.9300242820,-0.0000056648,0.0025968975,-9.7930223425,-0.0002690076,0.0000304849,-0.0000540867
559086.9400242820,0.0000235148,-0.0045719370,-9.7928731113,0.0001001178,0.0000847381,-0.0000432391
559086.9500242820,-0.0007780588,0.0028993110,-9.7940834276,-0.0000410183,0.0000630368,-0.0000323915
559086.9600242820,-0.0022716766,-0.0030559776,-9.7930058925,-0.0001278714,0.0001172899,-0.0000323915
559086.9700242820,-0.0010537483,-0.0021358833,-9.7928631141,0.0001001178,0.0000304849,-0.0000215439
559086.9800242820,-0.0001600992,0.0018339154,-9.7936314616,-0.0002907208,0.0001172899,-0.0000323915
559086.9900242820,-0.0005992328,-0.0025913105,-9.7934771686,0.0000566913,0.0000087837,-0.0000323915
559087.0000242820,-0.0019827268,0.0004535309,-9.7933118451,-0.0000410183,0.0001172899,-0.0000323915
559087.0100242820,-0.0012159165,-0.0009160155,-9.7934713263,-0.0001604413,0.0000413356,-0.0000432391
559087.0200242820,0.0000127489,-0.0024364213,-9.7931771543,0.0000458347,0.0000955887,-0.0000432391
559087.0300242821,-0.0009155200,0.0012204036,-9.7930153579,-0.0000301617,0.0000304849,-0.0000432391
559087.0400242819,-0.0019767777,-0.0010717382,-9.7933125426,-0.0001604413,0.0001172899,-0.0000432391
559087.0500242820,-0.0012093438,-0.0022888272,-9.7933194444,0.0000024082,0.0000413356,-0.0000215439
559087.0600242820,0.0003023509,0.0015305291,-9.7931778781,-0.0000735882,0.0000955887,-0.0000432391
559087.0700242820,-0.0009107894,-0.0003047962,-9.7931685652,-0.0001170148,0.0000304849,-0.0000215439
559087.0800242820,-0.0012142178,-0.0022885494,-9.7939294834,-0.0000084485,0.0001064393,-0.0000323915
559087.0900242820,-0.0019737171,-0.0009194196,-9.7928549436,-0.0000518750,0.0000413356,-0.0000323915
559087.1000242820,0.0012332862,0.0003134404,-9.7918134607,-0.0001278714,0.0001389912,-0.0000432391
559087.1100242820,-0.0012171637,-0.0012209305,-9.7937764853,-0.0000084485,-0.0000020669,-0.0000323915
559087.1200242820,-0.0035069434,-0.0004677445,-9.7936045957,-0.0000518750,0.0001172899,-0.0000432391
559087.1300242820,-0.0010621058,-0.0003054909,-9.7930147868,-0.0001387280,0.0000413356,-0.0000323915
559087.1400242830,0.0013808038,-0.0012105785,-9.7931880148,-0.0000301617,0.0001064393,-0.0000432391
559087.1500242830,-0.0006123210,0.0007642817,-9.7934756339,-0.0000410183,-0.0000129176,-0.0000432391
559087.1600242830,-0.0034972814,-0.0013832532,-9.7928424655,-0.0000735882,0.0001172899,-0.0000215439
559087.1700242830,-0.0005986092,-0.0024388530,-9.7933245891,-0.0000518750,0.0000630368,-0.0000323915
559087.1800242830,0.0013730125,0.0001623026,-9.7934924066,-0.0000627316,0.0000955887,-0.0000323915
559087.1900242830,-0.0002988076,-0.0001499070,-9.7928685509,-0.0000735882,0.0000304849,-0.0000432391
559087.2000242830,-0.0038024086,-0.0019944725,-9.7931452266,-0.0000410183,0.0001064393,-0.0000215439
559087.2100242830,-0.0018278409,-0.0004609359,-9.7934660421,-0.0000518750,0.0000738874,-0.0000432391
559087.2200242830,0.0015237340,0.0003155243,-9.7936461153,-0.0000627316,0.0000955887,-0.0000323915
559087.2300242831,0.0000019544,-0.0006058900,-9.7936338465,-0.0000301617,0.0000087837,-0.0000323915
559087.2400242829,-0.0031964620,-0.0012292674,-9.7933024625,-0.0000518750,0.0001064393,-0.0000215439
559087.2500242830,-0.0010628154,-0.0013729015,-9.7936253141,-0.0000953015,0.0000738874,-0.0000323915
559087.2600242830,0.0006109329,0.0000066493,-9.7934861326,-0.0000627316,0.0000955887,-0.0000323915
559087.2700242830,-0.0009149825,0.0004579079,-9.7933207262,-0.0000518750,0.0000304849,-0.0000432391
559087.2800242830,-0.0033508390,-0.0013822807,-9.7936062830,-0.0000518750,0.0000955887,-0.0000432391
559087.2900242830,-0.0015168219,-0.0019849545,-9.7934692771,-0.0000518750,0.0000738874,-0.0000323915
559087.3000242830,0.0009184684,0.0003127454,-9.7930310013,-0.0000518750,0.0000847381,-0.0000323915
559087.3100242830,0.0000056099,-0.0006060983,-9.7931763172,-0.0000627316,0.0000196343,-0.0000215439
559087.3200242830,-0.0033556844,-0.0010770185,-9.7940636728,-0.0000627316,0.0001064393,-0.0000323915
559087.3300242830,-0.0012122897,-0.0012212082,-9.7931664463,-0.0000735882,0.0000738874,-0.0000432391
559087.3400242830,0.0021368769,-0.0001396248,-9.7934988898,-0.0000627316,0.0000847381,-0.0000323915
559087.3500242830,-0.0001560208,-0.0001487262,-9.7940898977,-0.0000301617,0.0000196343,-0.0000323915
559087.3600242831,-0.0032001175,-0.0012290591,-9.7937599918,-0.0000518750,0.0001064393,-0.0000323915
559087.3700242830,-0.0006075903,-0.0007609180,-9.7936288413,-0.0000627316,0.0000738874,-0.0000432391
559087.3800242830,0.0024486341,-0.0002912484,-9.7927389482,-0.0000518750,0.0001064393,-0.0000215439
559087.3900242830,-0.0009114416,-0.0007622380,-9.7934737940,-0.0000627316,0.0000196343,-0.0000323915
559087.4000242830,-0.0045632123,-0.0015402265,-9.7926811443,-0.0000627316,0.0001064393,-0.0000432391
559087.4100242830,-0.0015197679,-0.0009173355,-9.7933162791,-0.0000301617,0.0000738874,-0.0000323915
559087.4200242830,0.0021375005,0.0000128327,-9.7933463102,-0.0000410183,0.0000955887,-0.0000432391
559087.4300242830,-0.0006081566,-0.0003034067,-9.7934761222,-0.0000518750,0.0000087837,-0.0000215439
559087.4400242830,-0.0028895788,-0.0013806132,-9.7931525600,-0.0000518750,0.0001064393,-0.0000323915
559087.4500242830,-0.0028985885,-0.0000076626,-9.7936094614,-0.0000953015,0.0000738874,-0.0000323915
559087.4600242830,0.0025968613,-0.0007478567,-9.7935029750,-0.0000627316,0.0001064393,-0.0000215439
559087.4700242830,0.0000037965,-0.0004535020,-9.7933287572,-0.0000518750,0.0000087837,-0.0000432391
559087.4800242831,-0.0041141372,-0.0015378646,-9.7937525188,-0.0000627316,0.0000955887,-0.0000432391
