t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
559012.0000242130,-0.0020342334,0.0008085975,9.7942125935,-0.0005404233,0.0000847381,0.0000326941
559012.0100242130,-0.0027969366,0.0005004868,9.7940662879,0.0004800999,0.0000521862,0.0000326941
559012.0200242130,0.0007315648,-0.0049760314,9.7938820859,-0.0006164197,0.0000738874,0.0000326941
559012.0300242130,0.0005481516,0.0035647118,9.7941922805,0.0004800999,0.0000738874,0.0000326941
559012.0400242130,-0.0018645606,-0.0048339954,9.7935987047,-0.0004752835,0.0000847381,0.0000326941
559012.0500242130,-0.0034196268,0.0030910821,9.7937675292,0.0001761142,0.0000738874,0.0000218465
559012.0600242130,-0.0004923700,-0.0049808253,9.7934347066,-0.0001278714,0.0000738874,0.0000218465
559012.0700242131,0.0010062939,0.0028040919,9.7938831060,-0.0001604413,0.0000738874,0.0000326941
559012.0800242129,-0.0017238667,-0.0011728629,9.7939041296,0.0002195408,0.0000738874,0.0000326941
559012.0900242130,-0.0026366391,-0.0011767535,9.7942167616,-0.0005078534,0.0000738874,0.0000326941
559012.1000242130,0.0013209110,0.0006698962,9.7940321017,0.0004800999,0.0000413356,0.0000326941
559012.1100242130,0.0010330364,-0.0043646038,9.7937273177,-0.0006164197,0.0000847381,0.0000218465
559012.1200242130,-0.0022011036,0.0038586495,9.7939102378,0.0004583866,0.0000738874,0.0000326941
559012.1300242130,-0.0018609337,-0.0051391881,9.7939035847,-0.0004861401,0.0000738874,0.0000326941
559012.1400242130,-0.0003671152,0.0029509913,9.7938945944,0.0001544010,0.0000630368,0.0000326941
559012.1500242130,0.0005778114,-0.0049765873,9.7937308449,-0.0000627316,0.0000955887,0.0000326941
559012.1600242130,-0.0020510057,0.0038594136,9.7936039496,-0.0002255810,0.0000738874,0.0000218465
559012.1700242130,-0.0023327878,-0.0011754335,9.7940617143,0.0002846805,0.0000738874,0.0000326941
559012.1800242130,0.0002662548,-0.0026900730,9.7940394482,-0.0005621366,0.0000738874,0.0000218465
559012.1900242131,0.0013196638,0.0003649812,9.7937269427,0.0004800999,0.0000738874,0.0000326941
559012.2000242129,-0.0017246336,-0.0028502424,9.7929883038,-0.0006381330,0.0000847381,0.0000218465
559012.2100242130,-0.0022035693,0.0035538040,9.7934525690,0.0003823902,0.0000738874,0.0000218465
559012.2200242130,0.0001316248,-0.0066565370,9.7943439228,-0.0003341473,0.0000738874,0.0000435417
559012.2300242130,0.0005463381,0.0037173081,9.7940398405,0.0000458347,0.0000738874,0.0000326941
559012.2400242130,-0.0015666011,-0.0026974374,9.7937496536,0.0000241214,0.0000738874,0.0000218465
559012.2500242130,-0.0024954650,0.0011119144,9.7939115197,-0.0003558606,0.0000847381,0.0000218465
559012.2600242130,-0.0009546767,-0.0031525170,9.7937443694,0.0003823902,0.0000521862,0.0000435417
559012.2700242130,0.0005616913,-0.0014683293,9.7934274298,-0.0005838498,0.0000955887,0.0000218465
559012.2800242130,-0.0003713083,0.0037136953,9.7937424334,0.0005018131,0.0000521862,0.0000543893
559012.2900242130,-0.0018609624,-0.0054441725,9.7937509354,-0.0005729932,0.0000847381,0.0000218465
559012.3000242130,-0.0011376957,0.0031008085,9.7929859493,0.0004041035,0.0000521862,0.0000326941
559012.3100242130,0.0005820618,-0.0051293225,9.7941883044,-0.0003015774,0.0000738874,0.0000109989
559012.3200242131,-0.0018941630,0.0043172725,9.7943654389,-0.0000518750,0.0000738874,0.0000326941
559012.3300242129,-0.0015599997,-0.0037652647,9.7940541848,0.0001218311,0.0000955887,0.0000326941
559012.3400242130,-0.0011203285,-0.0001025345,9.7935945235,-0.0004861401,0.0000630368,0.0000326941
559012.3500242130,-0.0000580244,0.0003596315,9.7931283223,0.0005235264,0.0000521862,0.0000543893
559012.3600242130,-0.0004994803,-0.0028455179,9.7935881929,-0.0006381330,0.0001064393,0.0000435417
559012.3700242130,-0.0015843339,0.0030983077,9.7943623433,0.0004692432,0.0000521862,0.0000218465
559012.3800242130,-0.0009446205,-0.0063554434,9.7934378850,-0.0004535703,0.0000738874,0.0000218465
559012.3900242130,0.0000869773,0.0044779974,9.7941965053,0.0001109745,0.0000847381,0.0000326941
559012.4000242130,-0.0004886571,-0.0043710649,9.7941975344,-0.0000410183,0.0000738874,0.0000326941
559012.4100242130,-0.0018889235,0.0017245926,9.7937542140,-0.0002690076,0.0000847381,0.0000326941
559012.4200242130,-0.0009606832,-0.0022372167,9.7934397684,0.0003281071,0.0000521862,0.0000326941
559012.4300242130,-0.0014212052,-0.0008664891,9.7937492219,-0.0005295667,0.0000955887,0.0000218465
559012.4400242131,0.0000958437,0.0015801249,9.7938901604,0.0004692432,0.0000738874,0.0000326941
559012.4500242129,-0.0009530067,-0.0048300354,9.7931335630,-0.0005947064,0.0000847381,0.0000326941
559012.4600242130,-0.0009742516,0.0024908400,9.7940519699,0.0003932468,0.0000738874,0.0000435417
559012.4700242130,-0.0004874386,-0.0043711343,9.7943500441,-0.0004644269,0.0000847381,0.0000435417
559012.4800242130,-0.0014372106,0.0038617064,9.7940564039,0.0001978275,0.0000738874,0.0000218465
559012.4900242130,-0.0009409076,-0.0057456830,9.7942007128,-0.0001604413,0.0000738874,0.0000218465
