t(s),acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
558958.0000241620,-0.0008254009,0.0021866892,9.7934405226,-0.0001061581,0.0000738874,0.0000218465
558958.0100241620,-0.0024817819,-0.0023962047,9.7939099153,0.0001869709,0.0000738874,0.0000326941
558958.0200241620,-0.0026450540,0.0000436702,9.7937597904,-0.0004535703,0.0000738874,0.0000218465
558958.0300241620,0.0010151316,-0.0003987651,9.7934241119,0.0004149601,0.0000521862,0.0000326941
558958.0400241620,0.0002668211,-0.0031475843,9.7938867292,-0.0006164197,0.0001064393,0.0000326941
558958.0500241620,-0.0024996580,0.0018746184,9.7937593587,0.0004583866,0.0000413356,0.0000543893
558958.0600241621,-0.0017114308,-0.0049858970,9.7935973662,-0.0005404233,0.0000738874,0.0000218465
558958.0700241619,0.0006958411,0.0038705992,9.7937336220,0.0003172504,0.0000738874,0.0000326941
558958.0800241620,0.0008840710,-0.0052803906,9.7937281679,-0.0002472943,0.0000738874,0.0000218465
558958.0900241620,-0.0026538630,0.0035515115,9.7943714338,-0.0000301617,0.0000847381,0.0000326941
558958.1000241620,-0.0020187942,-0.0034620867,9.7940581305,0.0001001178,0.0000738874,0.0000326941
558958.1100241620,-0.0000567485,0.0009695308,9.7935861306,-0.0004535703,0.0000738874,0.0000326941
558958.1200241620,0.0002506436,-0.0002492951,9.7932780156,0.0004366733,0.0000847381,0.0000326941
558958.1300241620,-0.0023317413,-0.0030054093,9.7932983285,-0.0005947064,0.0000847381,0.0000326941
558958.1400241620,-0.0017447748,0.0032506260,9.7934486233,0.0005343830,0.0000304849,0.0000326941
558958.1500241620,0.0007315648,-0.0049760314,9.7938820859,-0.0005512799,0.0000847381,0.0000326941
558958.1600241620,0.0005493987,0.0038696267,9.7944974396,0.0002738239,0.0000738874,0.0000435417
558958.1700241620,-0.0015558926,-0.0054429219,9.7937483980,-0.0002038678,0.0000955887,0.0000326941
558958.1800241621,-0.0020413437,0.0029439049,9.7943660798,-0.0001604413,0.0000738874,0.0000001513
558958.1900241619,0.0004085041,-0.0019263965,9.7931234697,0.0002412540,0.0000630368,-0.0003469717
558958.2000241620,0.0019322118,0.0000623590,9.7938742380,-0.0004861401,0.0000847381,-0.0015510546
558958.2100241620,0.0007012527,0.0031078257,9.7940382928,0.0005126697,0.0000738874,-0.0034819263
558958.2200241620,-0.0015677909,-0.0023923836,9.7937497931,-0.0005512799,0.0000738874,-0.0049029610
558958.2300241620,0.0008466200,0.0046337896,9.7938852118,0.0005018131,0.0000738874,-0.0062155198
558958.2400241620,0.0016408251,-0.0034470106,9.7938751711,-0.0004101437,0.0000847381,-0.0073219744
558958.2500241620,-0.0002103012,0.0031038657,9.7945034345,0.0002303974,0.0000630368,-0.0079077444
558958.2600241620,-0.0012543063,-0.0036115567,9.7942042268,-0.0000193051,0.0001064393,-0.0087538567
558958.2700241620,-0.0002169887,0.0032567399,9.7937409554,-0.0001061581,0.0000738874,-0.0095782739
558958.2800241620,0.0007191576,-0.0008580130,9.7943414986,0.0003715336,0.0000521862,-0.0101965867
558958.2900241630,0.0004074003,-0.0007063894,9.7935815571,-0.0004427136,0.0000847381,-0.0111186322
558958.3000241630,-0.0005137296,0.0011201125,9.7937425163,0.0005560963,0.0000847381,-0.0118128781
558958.3100241630,0.0001047101,-0.0013177477,9.7935838155,-0.0005295667,0.0000847381,-0.0127349236
558958.3200241630,-0.0005250331,0.0040181239,9.7937438417,0.0005343830,0.0000630368,-0.0138739209
558958.3300241630,0.0008888590,-0.0061956215,9.7938802591,-0.0003124341,0.0000738874,-0.0146657953
558958.3400241630,0.0003902624,0.0049368287,9.7941941771,0.0002629673,0.0000847381,-0.0156203835
558958.3500241630,-0.0014122241,-0.0025444241,9.7940534741,0.0000458347,0.0000521862,-0.0166292097
558958.3600241630,-0.0017387682,0.0023353256,9.7937532243,-0.0000953015,0.0000738874,-0.0172909129
558958.3700241630,0.0005695399,-0.0022312417,9.7940371200,0.0004366733,0.0000738874,-0.0183214343
558958.3800241631,0.0007107427,0.0003624107,9.7938845274,-0.0003667172,0.0001064393,-0.0191892418
558958.3900241629,-0.0005232770,0.0032555587,9.7935909832,0.0006212360,0.0000521862,-0.0199268782
558958.4000241630,-0.0006483024,-0.0022363827,9.7943522895,-0.0004318570,0.0000738874,-0.0210984183
558958.4100241630,-0.0008277232,0.0034067657,9.7937461001,0.0006320927,0.0000413356,-0.0218252070
558958.4200241630,0.0008823436,-0.0042128410,9.7940336757,-0.0002798642,0.0000955887,-0.0225303006
558958.4300241630,0.0012988418,0.0057034233,9.7937293842,0.0003932468,0.0000955887,-0.0236150600
558958.4400241630,-0.0017107498,-0.0042234707,9.7940552443,0.0000349781,0.0000738874,-0.0242116776
558958.4500241630,-0.0002127382,0.0031040046,9.7941984150,0.0000024082,0.0000738874,-0.0252096562
558958.4600241630,0.0004116221,-0.0011641091,9.7938863673,0.0004692432,0.0000521862,-0.0263378060
558958.4700241630,0.0000988183,0.0008174903,9.7938898116,-0.0003124341,0.0000738874,-0.0268910332
558958.4800241630,-0.0005166469,0.0024927158,9.7940481636,0.0007515156,0.0000521862,-0.0281927445
558958.4900241630,-0.0012573669,-0.0037638753,9.7937466278,-0.0003992871,0.0000738874,-0.0289303808
558958.5000241630,-0.0002174689,0.0046292044,9.7943516223,0.0006646626,0.0000630368,-0.0294510653
558958.5100241631,0.0014906985,-0.0037527592,9.7940288101,-0.0001495846,0.0000955887,-0.0304056536
558958.5200241629,-0.0012846757,0.0038623317,9.7940551351,0.0002738239,0.0000738874,-0.0312734611
558958.5300241630,-0.0018722945,-0.0028511454,9.7935996115,0.0003606769,0.0000630368,-0.0320002498
558958.5400241630,-0.0008181185,0.0018812882,9.7942029319,-0.0001278714,0.0000847381,-0.0332151803
558958.5500241630,0.0016174800,0.0009766172,9.7931146452,0.0007080891,0.0000304849,-0.0339094263
558958.5600241630,-0.0001949767,-0.0023867561,9.7937383745,-0.0003232907,0.0000955887,-0.0347880814
558958.5700241630,-0.0003695236,0.0032561146,9.7937422242,0.0007840855,0.0000738874,-0.0359704691
558958.5800241630,-0.0007967302,-0.0039146652,9.7940477714,-0.0002472943,0.0000630368,-0.0366213247
558958.5900241630,0.0008460537,0.0050913009,9.7940379309,0.0005669529,0.0000630368,-0.0375976081
558958.6000241630,0.0007255009,-0.0046706999,9.7932721864,0.0001544010,0.0000847381,-0.0383786349
558958.6100241630,-0.0002091114,0.0027988119,9.7945032950,0.0001435444,0.0000738874,-0.0390294905
558958.6200241630,-0.0000477961,-0.0010133885,9.7937377335,0.0005995228,0.0000630368,-0.0401467926
558958.6300241631,0.0001024165,0.0002073132,9.7940420424,-0.0002038678,0.0000955887,-0.0410037525
558958.6400241629,0.0008609553,0.0015831124,9.7941888362,0.0008492253,0.0000521862,-0.0417196937
558958.6500241630,-0.0007990525,-0.0026945888,9.7943533489,-0.0003341473,0.0000955887,-0.0428369958
558958.6600241630,-0.0017482869,0.0047757563,9.7937543404,0.0007840855,0.0000413356,-0.0434770039
558958.6700241630,0.0004271186,-0.0048248245,9.7940372029,-0.0000518750,0.0000955887,-0.0442905734
558958.6800241630,0.0002364230,0.0040213197,9.7935849883,0.0005235264,0.0000738874,-0.0454512659
558958.6900241630,0.0007225837,-0.0032980965,9.7935778337,0.0003389637,0.0000738874,-0.0460261884
558958.7000241630,-0.0008264187,0.0043216494,9.7943565577,0.0000349781,0.0000847381,-0.0470024718
558958.7100241630,0.0001089893,-0.0011654985,9.7941939243,0.0007080891,0.0000304849,-0.0480112980
558958.7200241630,-0.0001997934,-0.0017765095,9.7934336340,-0.0001495846,0.0000955887,-0.0484994397
558958.7300241630,0.0013107688,0.0029578694,9.7938806383,0.0009360783,0.0000521862,-0.0495299611
558958.7400241630,-0.0009552716,-0.0029999901,9.7937444391,-0.0001821545,0.0000847381,-0.0505821777
558958.7500241630,-0.0006799763,0.0043226219,9.7935927402,0.0008057987,0.0000521862,-0.0513740520
558958.7600241631,0.0005790299,-0.0049766567,9.7938833547,0.0000458347,0.0000955887,-0.0522744023
558958.7700241629,0.0008453441,0.0040238903,9.7934274035,0.0005343830,0.0000630368,-0.0529903434
558958.7800241630,-0.0008106427,-0.0028464213,9.7928281816,0.0003932468,0.0000413356,-0.0536628942
558958.7900241630,-0.0002103012,0.0031038657,9.7945034345,0.0001435444,0.0001064393,-0.0550188434
558958.8000241630,-0.0003505149,-0.0019297312,9.7935873427,0.0007623722,0.0000304849,-0.0557239370
558958.8100241630,0.0007089006,0.0002100226,9.7935794381,-0.0000518750,0.0000847381,-0.0565700493
558958.8200241630,0.0019251588,0.0028076352,9.7943330229,0.0009795048,0.0000955887,-0.0576222659
558958.8300241630,-0.0004983192,-0.0034555562,9.7934354041,-0.0001604413,0.0000630368,-0.0582622739
558958.8400241630,-0.0002145516,0.0032566010,9.7940459750,0.0009143650,0.0000630368,-0.0592602525
558958.8500241630,-0.0011054269,-0.0036107231,9.7937454288,0.0000349781,0.0000738874,-0.0601172124
558958.8600241630,-0.0009807957,0.0041686361,9.7940527372,0.0006103794,0.0000630368,-0.0606595921
